set,name,year,num_parts,price,theme
30112-1,Emma's Flower Stand,2014,35,4.99,Friends
30113-1,Stephanie's Bakery Stand,2014,28,NA,Friends
30114-1,Andrea's Beach Lounge,2014,29,NA,Friends
30115-1,Jungle Boat,2014,31,4.99,Friends
30150-1,Race Car,2012,35,4.99,Town
30151-1,Mining Dozer,2012,32,3.99,Town
30152-1,Mining Quad,2012,40,4.99,Town
30180-1,Twin Prop,2012,45,NA,Creator
30181-1,Helicopter,2012,53,NA,Creator
30183-1,Little Car,2013,50,NA,Creator
30184-1,Little Helicopter,2013,56,NA,Creator
30185-1,Little Eagle,2013,48,NA,Creator
30187-1,Fast Car,2014,56,3.29,Creator
30188-1,Cute Kitten,2014,54,NA,Creator
30189-1,Transport Plane,2014,49,NA,Creator
30202-1,Smoothie Stand,2015,37,NA,Friends
30203-1,Mini Golf,2015,26,NA,Friends
30204-1,Wish Fountain,2015,44,3.99,Friends
30205-1,Pop Star,2015,34,4.99,Friends
30220-1,Fire Speedboat,2013,40,NA,Town
30221-1,Fire Car,2013,36,NA,Town
30222-1,Police Helicopter,2013,33,NA,Town
30224-1,Lawn Mower,2013,41,NA,Town
30225-1,Seaplane,2013,37,3.99,Town
30226-1,Police Helicopter,2014,48,NA,Town
30227-1,Police Watercraft,2014,36,4.99,Town
30228-1,Police ATV,2014,42,NA,Town
30229-1,Repair Lift,2014,40,3.49,Town
30240-1,Z-95 Headhunter,2013,54,4.99,Star Wars
30241-1,Mandalorian Fighter,2013,49,4.99,Star Wars
30242-1,Republic Frigate,2013,45,4.99,Star Wars
30243-1,Umbaran MHC,2013,49,NA,Star Wars
30244-1,Anakin's Jedi Intercepter,2014,45,4.49,Star Wars
30246-1,Imperial Shuttle,2014,57,3.99,Star Wars
30247-1,ARC-170 Starfighter,2014,54,3.99,Star Wars
30272-1,A-Wing Starfighter,2015,58,NA,Star Wars
30274-1,AT-DP,2015,65,NA,Star Wars
30275-1,TIE Advanced Prototype,2015,47,NA,Star Wars
30276-1,First Order Special Forces TIE Fighter,2015,41,3.99,Star Wars
30277-1,First Order Star Destroyer,2016,56,NA,Star Wars
30278-1,Poe's X-wing Fighter,2015,64,3.99,Star Wars
30279-1,Kylo Ren's Command Shuttle,2016,43,NA,Star Wars
30283-1,Off-Road,2015,43,NA,Creator
30284-1,Tractor,2015,51,NA,Creator
30285-1,Tiger,2015,73,3.99,Creator
30291-1,Anacondrai Battle Mech,2015,43,NA,Ninjago
30292-1,Jay Nano Mech,2015,54,NA,Ninjago
30293-1,Kai Drifter,2015,43,NA,Ninjago
30294-1,The Cowler Dragon,2015,45,4.99,Ninjago
30310-1,Arctic Scout,2014,39,NA,Town
30311-1,Swamp Police Helicopter,2015,51,3.49,Town
30312-1,Demolition Driller,2015,40,NA,Town
30313-1,Garbage Truck,2015,48,3.49,Town
30314-1,Go-Kart Racer,2015,45,NA,Town
30315-1,Space Utility Vehicle,2015,39,3.99,Town
30346-1,Prison Island Helicopter,2016,46,NA,Town
30347-1,Fire Car,2016,53,3.99,Town
30348-1,Mini Dumper,2016,45,NA,Town
30349-1,Sports Car,2016,47,3.99,Town
30350-1,Volcano Jackhammer,2016,53,NA,Town
30351-1,Police Helicopter,2017,44,NA,Town
30352-1,Police Car,2017,50,NA,Town
30353-1,Tractor,2017,47,NA,Town
30354-1,Hot Rod,2017,38,NA,Town
30355-1,Jungle ATV,2017,36,NA,Town
30356-1,Hot Dog Stand,2018,43,NA,Town
30357-1,Road Worker,2018,58,3.99,Town
30358-1,Dragster,2018,40,NA,Town
30359-1,Police Water Plane,2018,48,3.99,Town
30360-1,Arctic Ice Saw,2018,43,3.99,Town
30361-1,Fire ATV,2019,39,NA,Town
30362-1,Sky Police Jetpack,2019,33,3.99,Town
30363-1,Race Boat,2019,34,NA,Town
30364-1,Popcorn Cart,2019,43,NA,Town
30365-1,Space Satellite,2019,36,3.99,Town
30366-1,Police Car,2020,37,4.99,Town
30367-1,Police Helicopter,2020,39,4.99,Town
30368-1,Fire Rescue Water Scooter,2020,34,4.99,Town
30369-1,Beach Buggy,2020,45,4.99,Town
30370-1,Deep Sea Diver,2020,22,NA,Town
30379-1,Quake Mech Micro Build,2017,64,NA,Ninjago
30380-1,Kylo Ren's Shuttle,2018,33,NA,Star Wars
30381-1,Imperial TIE Fighter,2018,42,NA,Star Wars
30383-1,Naboo Starfighter,2019,48,NA,Star Wars
30384-1,Snowspeeder,2019,49,NA,Star Wars
30386-1,Poe Dameron's X-wing Fighter,2020,72,4.99,Star Wars
30388-1,Imperial Shuttle,2021,85,NA,Star Wars
30396-1,Cupcake Stall,2016,28,NA,Friends
30398-1,Adventure Camp Bridge,2016,37,NA,Friends
30399-1,Bowling Alley,2016,51,3.99,Friends
30400-1,Gymnastic Bar,2017,26,NA,Friends
30401-1,Pool Foam Slide,2017,45,3.99,Friends
30402-1,Snowboard Tricks,2017,27,NA,Friends
30403-1,Olivia's Remote Control Boat,2018,25,3.99,Friends
30404-1,Friendship Flower,2018,100,NA,Friends
30405-1,Stephanie's Hockey Practice,2018,39,NA,Friends
30408-1,Tulips,2019,90,NA,Friends
30409-1,Emma's Bumper Cars,2019,66,NA,Friends
30410-1,Mia's Water Fun,2019,28,3.99,Friends
30411-1,Chocolate Box & Flower,2020,75,4.99,Friends
30412-1,Park Picnic,2020,44,4.99,Friends
30413-1,Flower Cart,2021,55,NA,Friends
30421-1,Skybound Plane,2016,30,NA,Ninjago
30422-1,Kai's Mini Dragon,2016,40,NA,Ninjago
30423-1,Anchor-Jet,2016,38,NA,Ninjago
30424-1,WU-CRU Training Dojo,2016,43,NA,Ninjago
30425-1,CRU Masters' Training Grounds,2017,43,NA,Ninjago
30426-1,Stealthy Swamp Airboat,2017,43,NA,Ninjago
30427-1,Ice Tank,2017,71,NA,Ninjago
30428-1,Green Ninja Mech Dragon,2017,60,NA,Ninjago
30461-1,Podracer,2019,60,NA,Star Wars
30465-1,Helicopter,2021,70,NA,Technic
30471-1,Helicopter,2016,47,NA,Creator
30472-1,Parrot,2016,43,NA,Creator
30475-1,Off Roader,2017,33,NA,Creator
30476-1,Happy Turtle,2017,33,NA,Creator
30477-1,Colorful Chameleon,2017,53,NA,Creator
30496-1,U-Wing Fighter,2017,55,3.99,Star Wars
30497-1,First Order Heavy Assault Walker,2017,54,NA,Star Wars
30498-1,Imperial AT-Hauler,2018,49,NA,Star Wars
30530-1,WU-CRU Target Training,2018,46,NA,Ninjago
30531-1,Sons of Garmadon,2018,38,NA,Ninjago
30532-1,TURBO,2018,66,NA,Ninjago
30533-1,Sam-X,2019,56,NA,Ninjago
30534-1,Ninja Workout,2019,31,NA,Ninjago
30535-1,Fire Flight,2019,54,NA,Ninjago
30536-1,Combo Charger,2020,71,4.99,Ninjago
30537-1,Merchant Avatar Jay,2020,56,4.99,Ninjago
30539-1,Lloyd's Quad Bike,2021,41,NA,Ninjago
30540-1,Yellow Flyer,2018,43,NA,Creator
30542-1,Cute Pug,2018,68,3.99,Creator
30547-1,Dragon Hunter,2018,63,NA,Ninjago
30548-1,Build Your Own Birds,2020,26,4.99,Creator
30549-1,Build Your Own Vehicles,2020,59,4.99,Creator
30565-1,Birthday Clown,2021,59,4.99,Creator
30566-1,Fire Helicopter,2021,41,NA,Town
30567-1,Police Water Scooter,2021,33,NA,Town
30568-1,Skater,2021,40,NA,Town
30569-1,Set Dispenser,2021,47,NA,Town
30571-1,Pelican,2019,62,3.99,Creator
30572-1,Race Car,2019,68,NA,Creator
30574-1,Cat,2020,55,4.99,Creator
30575-1,Train,2020,59,4.99,Creator
30577-1,Mega Muscle Car,2021,63,4.99,Creator
30578-1,German Shepherd,2021,76,NA,Creator
30591-1,Titanium Mini Mech,2021,77,NA,Ninjago
30602-1,First Order Stormtrooper,2016,7,NA,Star Wars
30605-1,Finn (FN-2187),2016,6,NA,Star Wars
30608-1,Kendo Lloyd,2017,7,NA,Ninjago
30609-1,Lloyd,2017,6,NA,Ninjago
3061-1,City Park Café,2012,247,34.99,Friends
30611-1,R2-D2,2017,70,NA,Star Wars
30624-1,Obi-Wan Kenobi - Collectible Minifigure,2019,12,3.99,Star Wars
30625-1,Luke Skywalker with Blue Milk,2021,6,NA,Star Wars
3063-1,Heartlake Flying Club,2012,197,19.99,Friends
3065-1,Olivia’s Tree House,2012,214,19.99,Friends
31000-1,Mini Speeder,2013,65,6.99,Creator
31001-1,Mini Skyflyers,2013,62,6.99,Creator
31002-1,Super Racer,2013,121,14.99,Creator
31003-1,Red Rotors,2013,145,14.99,Creator
31004-1,Fierce Flyer,2013,166,14.99,Creator
31005-1,Construction Hauler,2013,256,17.99,Creator
31006-1,Highway Speedster,2013,286,24.99,Creator
31007-1,Power Mech,2013,223,19.99,Creator
31008-1,Thunder Wings,2013,235,19.99,Creator
31009-1,Small Cottage,2013,271,24.99,Creator
31010-1,Treehouse,2013,356,29.99,Creator
31011-1,Aviation Adventures,2013,620,59.99,Creator
31012-1,Family House,2013,756,69.99,Creator
31013-1,Red Thunder,2014,66,4.99,Creator
31014-1,Power Digger,2014,64,4.99,Creator
31015-1,Emerald Express,2014,56,4.99,Creator
31017-1,Sunset Speeder,2014,119,12.99,Creator
31018-1,Highway Cruiser,2014,129,12.99,Creator
31019-1,Forest Animals,2014,272,19.99,Creator
31020-1,Twinblade Adventures,2014,216,17.99,Creator
31021-1,Furry Creatures,2014,285,19.99,Creator
31022-1,Turbo Quad,2014,186,24.99,Creator
31023-1,Yellow Racers,2014,328,29.99,Creator
31024-1,Roaring Power,2014,374,29.99,Creator
31025-1,Mountain Hut,2014,550,39.99,Creator
31026-1,Bike Shop & Cafe,2014,1023,89.99,Creator
31027-1,Blue Racer,2015,67,4.99,Creator
31028-1,Sea Plane,2015,53,4.99,Creator
31029-1,Cargo Heli,2015,132,9.99,Creator
31030-1,Red Go-Kart,2015,106,9.99,Creator
31031-1,Rainforest Animals,2015,215,14.99,Creator
31032-1,Red Creatures,2015,221,14.99,Creator
31033-1,Vehicle Transporter,2015,264,24.99,Creator
31034-1,Future Flyer,2015,237,24.99,Creator
31035-1,Beach Hut,2015,286,29.99,Creator
31036-1,Toy & Grocery Shop,2015,466,39.99,Creator
31037-1,Adventure Vehicles,2015,282,24.99,Creator
