DHB,Population,Date,Dose,Number,Total
West Coast,27906,2022-02-20,2,-2,25390
West Coast,27906,2022-02-20,3,15,14013
Canterbury,482890,2022-02-20,1,53,481139
Canterbury,482890,2022-02-20,2,75,475081
Canterbury,482890,2022-02-20,3,1727,258885
South Canterbury,52584,2022-02-20,1,2,50177
South Canterbury,52584,2022-02-20,2,1,49413
South Canterbury,52584,2022-02-20,3,100,28721
Southern,288015,2022-02-20,1,13,281568
Southern,288015,2022-02-20,2,27,277659
Southern,288015,2022-02-20,3,559,162766
Northland,161320,2022-02-21,1,49,145571
Northland,161320,2022-02-21,2,66,141349
Northland,161320,2022-02-21,3,831,73996
Waitematā,526087,2022-02-21,1,43,507732
Waitematā,526087,2022-02-21,2,69,501603
Waitematā,526087,2022-02-21,3,3713,274624
Auckland,423958,2022-02-21,1,21,421640
Auckland,423958,2022-02-21,2,62,416784
Auckland,423958,2022-02-21,3,3197,240439
Counties Manukau,482773,2022-02-21,1,115,464711
Counties Manukau,482773,2022-02-21,2,161,457001
Counties Manukau,482773,2022-02-21,3,2791,230229
Waikato,357176,2022-02-21,1,84,340116
Waikato,357176,2022-02-21,2,109,333316
Waikato,357176,2022-02-21,3,1913,171170
Lakes,94419,2022-02-21,1,4,88316
Lakes,94419,2022-02-21,2,22,86145
Lakes,94419,2022-02-21,3,382,43690
Bay of Plenty,216941,2022-02-21,1,41,206514
Bay of Plenty,216941,2022-02-21,2,82,201958
Bay of Plenty,216941,2022-02-21,3,1169,103321
Tairāwhiti,41965,2022-02-21,1,11,39130
Tairāwhiti,41965,2022-02-21,2,24,37957
Tairāwhiti,41965,2022-02-21,3,173,18697
Taranaki,102147,2022-02-21,1,-7,96785
Taranaki,102147,2022-02-21,2,8,94925
Taranaki,102147,2022-02-21,3,538,47981
Hawke's Bay,145571,2022-02-21,1,35,141319
Hawke's Bay,145571,2022-02-21,2,63,138217
Hawke's Bay,145571,2022-02-21,3,715,74370
MidCentral,152302,2022-02-21,1,10,147348
MidCentral,152302,2022-02-21,2,43,144712
MidCentral,152302,2022-02-21,3,842,80447
Whanganui,57247,2022-02-21,1,14,52850
Whanganui,57247,2022-02-21,2,27,51711
Whanganui,57247,2022-02-21,3,305,28988
Capital and Coast,271174,2022-02-21,1,95,267523
Capital and Coast,271174,2022-02-21,2,123,264913
Capital and Coast,271174,2022-02-21,3,3024,166081
Hutt Valley,130239,2022-02-21,1,-20,126203
Hutt Valley,130239,2022-02-21,2,4,124430
Hutt Valley,130239,2022-02-21,3,1026,72477
Wairarapa,41427,2022-02-21,1,-1,40048
Wairarapa,41427,2022-02-21,2,10,39301
Wairarapa,41427,2022-02-21,3,238,22911
Nelson Marlborough,135743,2022-02-21,1,2,131333
Nelson Marlborough,135743,2022-02-21,2,20,129188
Nelson Marlborough,135743,2022-02-21,3,573,77939
West Coast,27906,2022-02-21,1,-5,25952
West Coast,27906,2022-02-21,2,-3,25387
West Coast,27906,2022-02-21,3,61,14074
Canterbury,482890,2022-02-21,1,178,481317
Canterbury,482890,2022-02-21,2,245,475326
Canterbury,482890,2022-02-21,3,4440,263325
South Canterbury,52584,2022-02-21,1,2,50179
South Canterbury,52584,2022-02-21,2,1,49414
South Canterbury,52584,2022-02-21,3,266,28987
Southern,288015,2022-02-21,1,39,281607
Southern,288015,2022-02-21,2,79,277738
Southern,288015,2022-02-21,3,1766,164532
Northland,161320,2022-02-22,1,39,145610
Northland,161320,2022-02-22,2,92,141441
Northland,161320,2022-02-22,3,752,74748
Waitematā,526087,2022-02-22,1,27,507759
Waitematā,526087,2022-02-22,2,77,501680
Waitematā,526087,2022-02-22,3,3012,277636
Auckland,423958,2022-02-22,1,41,421681
Auckland,423958,2022-02-22,2,100,416884
Auckland,423958,2022-02-22,3,2655,243094
Counties Manukau,482773,2022-02-22,1,51,464762
Counties Manukau,482773,2022-02-22,2,140,457141
Counties Manukau,482773,2022-02-22,3,2099,232328
Waikato,357176,2022-02-22,1,73,340189
Waikato,357176,2022-02-22,2,136,333452
Waikato,357176,2022-02-22,3,1991,173161
Lakes,94419,2022-02-22,1,40,88356
Lakes,94419,2022-02-22,2,52,86197
Lakes,94419,2022-02-22,3,374,44064
Bay of Plenty,216941,2022-02-22,1,78,206592
Bay of Plenty,216941,2022-02-22,2,109,202067
Bay of Plenty,216941,2022-02-22,3,1056,104377
Tairāwhiti,41965,2022-02-22,1,-4,39126
Tairāwhiti,41965,2022-02-22,2,18,37975
Tairāwhiti,41965,2022-02-22,3,228,18925
Taranaki,102147,2022-02-22,1,9,96794
Taranaki,102147,2022-02-22,2,30,94955
Taranaki,102147,2022-02-22,3,580,48561
Hawke's Bay,145571,2022-02-22,1,83,141402
Hawke's Bay,145571,2022-02-22,2,121,138338
Hawke's Bay,145571,2022-02-22,3,719,75089
MidCentral,152302,2022-02-22,1,8,147356
MidCentral,152302,2022-02-22,2,59,144771
MidCentral,152302,2022-02-22,3,981,81428
Whanganui,57247,2022-02-22,1,11,52861
Whanganui,57247,2022-02-22,2,12,51723
Whanganui,57247,2022-02-22,3,277,29265
Capital and Coast,271174,2022-02-22,1,70,267593
Capital and Coast,271174,2022-02-22,2,93,265006
Capital and Coast,271174,2022-02-22,3,2245,168326
Hutt Valley,130239,2022-02-22,1,-3,126200
Hutt Valley,130239,2022-02-22,2,33,124463
Hutt Valley,130239,2022-02-22,3,665,73142
Wairarapa,41427,2022-02-22,1,17,40065
Wairarapa,41427,2022-02-22,2,13,39314
Wairarapa,41427,2022-02-22,3,274,23185
Nelson Marlborough,135743,2022-02-22,1,18,131351
Nelson Marlborough,135743,2022-02-22,2,41,129229
Nelson Marlborough,135743,2022-02-22,3,577,78516
West Coast,27906,2022-02-22,1,8,25960
West Coast,27906,2022-02-22,2,20,25407
West Coast,27906,2022-02-22,3,228,14302
Canterbury,482890,2022-02-22,1,162,481479
Canterbury,482890,2022-02-22,2,251,475577
Canterbury,482890,2022-02-22,3,4673,267998
South Canterbury,52584,2022-02-22,1,-2,50177
South Canterbury,52584,2022-02-22,2,9,49423
South Canterbury,52584,2022-02-22,3,311,29298
Southern,288015,2022-02-22,1,101,281708
Southern,288015,2022-02-22,2,152,277890
Southern,288015,2022-02-22,3,1801,166333
Northland,161320,2022-02-23,1,48,145658
Northland,161320,2022-02-23,2,84,141525
Northland,161320,2022-02-23,3,970,75718
Waitematā,526087,2022-02-23,1,82,507841
Waitematā,526087,2022-02-23,2,132,501812
Waitematā,526087,2022-02-23,3,2779,280415
Auckland,423958,2022-02-23,1,12,421693
Auckland,423958,2022-02-23,2,33,416917
Auckland,423958,2022-02-23,3,2388,245482
Counties Manukau,482773,2022-02-23,1,63,464825
Counties Manukau,482773,2022-02-23,2,111,457252
Counties Manukau,482773,2022-02-23,3,2109,234437
Waikato,357176,2022-02-23,1,74,340263
Waikato,357176,2022-02-23,2,142,333594
Waikato,357176,2022-02-23,3,2058,175219
Lakes,94419,2022-02-23,1,13,88369
Lakes,94419,2022-02-23,2,35,86232
Lakes,94419,2022-02-23,3,350,44414
Bay of Plenty,216941,2022-02-23,1,35,206627
Bay of Plenty,216941,2022-02-23,2,78,202145
Bay of Plenty,216941,2022-02-23,3,1079,105456
Tairāwhiti,41965,2022-02-23,1,20,39146
Tairāwhiti,41965,2022-02-23,2,28,38003
Tairāwhiti,41965,2022-02-23,3,201,19126
Taranaki,102147,2022-02-23,1,28,96822
Taranaki,102147,2022-02-23,2,49,95004
Taranaki,102147,2022-02-23,3,625,49186
Hawke's Bay,145571,2022-02-23,1,37,141439
Hawke's Bay,145571,2022-02-23,2,81,138419
Hawke's Bay,145571,2022-02-23,3,862,75951
MidCentral,152302,2022-02-23,1,23,147379
MidCentral,152302,2022-02-23,2,43,144814
MidCentral,152302,2022-02-23,3,945,82373
Whanganui,57247,2022-02-23,1,2,52863
Whanganui,57247,2022-02-23,2,10,51733
Whanganui,57247,2022-02-23,3,310,29575
Capital and Coast,271174,2022-02-23,1,81,267674
Capital and Coast,271174,2022-02-23,2,133,265139
Capital and Coast,271174,2022-02-23,3,2235,170561
Hutt Valley,130239,2022-02-23,1,14,126214
Hutt Valley,130239,2022-02-23,2,43,124506
Hutt Valley,130239,2022-02-23,3,853,73995
Wairarapa,41427,2022-02-23,1,5,40070
Wairarapa,41427,2022-02-23,2,15,39329
Wairarapa,41427,2022-02-23,3,151,23336
Nelson Marlborough,135743,2022-02-23,1,8,131359
Nelson Marlborough,135743,2022-02-23,2,39,129268
Nelson Marlborough,135743,2022-02-23,3,501,79017
West Coast,27906,2022-02-23,1,-3,25957
West Coast,27906,2022-02-23,2,3,25410
West Coast,27906,2022-02-23,3,143,14445
Canterbury,482890,2022-02-23,1,197,481676
Canterbury,482890,2022-02-23,2,236,475813
Canterbury,482890,2022-02-23,3,4240,272238
South Canterbury,52584,2022-02-23,1,4,50181
South Canterbury,52584,2022-02-23,2,20,49443
South Canterbury,52584,2022-02-23,3,324,29622
Southern,288015,2022-02-23,1,56,281764
Southern,288015,2022-02-23,2,93,277983
Southern,288015,2022-02-23,3,1659,167992
Northland,161320,2022-02-24,1,41,145699
Northland,161320,2022-02-24,2,70,141595
Northland,161320,2022-02-24,3,821,76539
Waitematā,526087,2022-02-24,1,52,507893
Waitematā,526087,2022-02-24,2,83,501895
Waitematā,526087,2022-02-24,3,3140,283555
Auckland,423958,2022-02-24,1,61,421754
Auckland,423958,2022-02-24,2,63,416980
Auckland,423958,2022-02-24,3,2693,248175
Counties Manukau,482773,2022-02-24,1,83,464908
Counties Manukau,482773,2022-02-24,2,155,457407
Counties Manukau,482773,2022-02-24,3,2321,236758
Waikato,357176,2022-02-24,1,58,340321
Waikato,357176,2022-02-24,2,124,333718
Waikato,357176,2022-02-24,3,2001,177220
Lakes,94419,2022-02-24,1,7,88376
Lakes,94419,2022-02-24,2,17,86249
Lakes,94419,2022-02-24,3,437,44851
Bay of Plenty,216941,2022-02-24,1,59,206686
Bay of Plenty,216941,2022-02-24,2,98,202243
Bay of Plenty,216941,2022-02-24,3,1063,106519
Tairāwhiti,41965,2022-02-24,1,21,39167
Tairāwhiti,41965,2022-02-24,2,28,38031
Tairāwhiti,41965,2022-02-24,3,203,19329
Taranaki,102147,2022-02-24,1,18,96840
Taranaki,102147,2022-02-24,2,38,95042
Taranaki,102147,2022-02-24,3,636,49822
Hawke's Bay,145571,2022-02-24,1,5,141444
Hawke's Bay,145571,2022-02-24,2,43,138462
Hawke's Bay,145571,2022-02-24,3,667,76618
MidCentral,152302,2022-02-24,1,12,147391
MidCentral,152302,2022-02-24,2,34,144848
MidCentral,152302,2022-02-24,3,916,83289
Whanganui,57247,2022-02-24,1,7,52870
Whanganui,57247,2022-02-24,2,12,51745
Whanganui,57247,2022-02-24,3,331,29906
Capital and Coast,271174,2022-02-24,1,59,267733
Capital and Coast,271174,2022-02-24,2,102,265241
Capital and Coast,271174,2022-02-24,3,2239,172800
Hutt Valley,130239,2022-02-24,1,2,126216
Hutt Valley,130239,2022-02-24,2,28,124534
Hutt Valley,130239,2022-02-24,3,745,74740
Wairarapa,41427,2022-02-24,1,1,40071
Wairarapa,41427,2022-02-24,2,8,39337
Wairarapa,41427,2022-02-24,3,142,23478
Nelson Marlborough,135743,2022-02-24,1,17,131376
Nelson Marlborough,135743,2022-02-24,2,36,129304
Nelson Marlborough,135743,2022-02-24,3,562,79579
West Coast,27906,2022-02-24,1,7,25964
West Coast,27906,2022-02-24,2,15,25425
West Coast,27906,2022-02-24,3,171,14616
Canterbury,482890,2022-02-24,1,256,481932
Canterbury,482890,2022-02-24,2,299,476112
Canterbury,482890,2022-02-24,3,4459,276697
South Canterbury,52584,2022-02-24,1,9,50190
South Canterbury,52584,2022-02-24,2,30,49473
South Canterbury,52584,2022-02-24,3,322,29944
Southern,288015,2022-02-24,1,40,281804
Southern,288015,2022-02-24,2,50,278033
Southern,288015,2022-02-24,3,1736,169728
Northland,161320,2022-02-25,1,20,145719
Northland,161320,2022-02-25,2,41,141636
Northland,161320,2022-02-25,3,681,77220
Waitematā,526087,2022-02-25,1,77,507970
Waitematā,526087,2022-02-25,2,167,502062
Waitematā,526087,2022-02-25,3,4487,288042
Auckland,423958,2022-02-25,1,98,421852
Auckland,423958,2022-02-25,2,112,417092
Auckland,423958,2022-02-25,3,3552,251727
Counties Manukau,482773,2022-02-25,1,32,464940
Counties Manukau,482773,2022-02-25,2,127,457534
Counties Manukau,482773,2022-02-25,3,3444,240202
Waikato,357176,2022-02-25,1,77,340398
Waikato,357176,2022-02-25,2,133,333851
Waikato,357176,2022-02-25,3,2435,179655
Lakes,94419,2022-02-25,1,10,88386
Lakes,94419,2022-02-25,2,22,86271
Lakes,94419,2022-02-25,3,559,45410
Bay of Plenty,216941,2022-02-25,1,30,206716
Bay of Plenty,216941,2022-02-25,2,86,202329
Bay of Plenty,216941,2022-02-25,3,1477,107996
Tairāwhiti,41965,2022-02-25,1,37,39204
Tairāwhiti,41965,2022-02-25,2,48,38079
Tairāwhiti,41965,2022-02-25,3,207,19536
Taranaki,102147,2022-02-25,1,11,96851
Taranaki,102147,2022-02-25,2,40,95082
Taranaki,102147,2022-02-25,3,865,50687
Hawke's Bay,145571,2022-02-25,1,0,141444
Hawke's Bay,145571,2022-02-25,2,25,138487
Hawke's Bay,145571,2022-02-25,3,800,77418
MidCentral,152302,2022-02-25,1,9,147400
MidCentral,152302,2022-02-25,2,43,144891
MidCentral,152302,2022-02-25,3,1087,84376
Whanganui,57247,2022-02-25,1,0,52870
Whanganui,57247,2022-02-25,2,7,51752
Whanganui,57247,2022-02-25,3,245,30151
Capital and Coast,271174,2022-02-25,1,42,267775
Capital and Coast,271174,2022-02-25,2,78,265319
Capital and Coast,271174,2022-02-25,3,2400,175200
Hutt Valley,130239,2022-02-25,1,12,126228
Hutt Valley,130239,2022-02-25,2,38,124572
Hutt Valley,130239,2022-02-25,3,1049,75789
Wairarapa,41427,2022-02-25,1,4,40075
Wairarapa,41427,2022-02-25,2,14,39351
Wairarapa,41427,2022-02-25,3,250,23728
Nelson Marlborough,135743,2022-02-25,1,27,131403
Nelson Marlborough,135743,2022-02-25,2,42,129346
Nelson Marlborough,135743,2022-02-25,3,643,80222
West Coast,27906,2022-02-25,1,4,25968
West Coast,27906,2022-02-25,2,11,25436
West Coast,27906,2022-02-25,3,218,14834
Canterbury,482890,2022-02-25,1,87,482019
Canterbury,482890,2022-02-25,2,149,476261
Canterbury,482890,2022-02-25,3,4752,281449
South Canterbury,52584,2022-02-25,1,0,50190
South Canterbury,52584,2022-02-25,2,21,49494
South Canterbury,52584,2022-02-25,3,430,30374
Southern,288015,2022-02-25,1,122,281926
Southern,288015,2022-02-25,2,179,278212
Southern,288015,2022-02-25,3,1742,171470
Northland,161320,2022-02-26,1,10,145729
Northland,161320,2022-02-26,2,31,141667
Northland,161320,2022-02-26,3,705,77925
Waitematā,526087,2022-02-26,1,64,508034
Waitematā,526087,2022-02-26,2,131,502193
Waitematā,526087,2022-02-26,3,4195,292237
Auckland,423958,2022-02-26,1,38,421890
Auckland,423958,2022-02-26,2,69,417161
Auckland,423958,2022-02-26,3,3538,255265
Counties Manukau,482773,2022-02-26,1,60,465000
Counties Manukau,482773,2022-02-26,2,122,457656
Counties Manukau,482773,2022-02-26,3,4538,244740
Waikato,357176,2022-02-26,1,21,340419
Waikato,357176,2022-02-26,2,45,333896
Waikato,357176,2022-02-26,3,1709,181364
Lakes,94419,2022-02-26,1,4,88390
Lakes,94419,2022-02-26,2,24,86295
Lakes,94419,2022-02-26,3,507,45917
Bay of Plenty,216941,2022-02-26,1,23,206739
Bay of Plenty,216941,2022-02-26,2,54,202383
Bay of Plenty,216941,2022-02-26,3,1218,109214
Tairāwhiti,41965,2022-02-26,1,3,39207
Tairāwhiti,41965,2022-02-26,2,1,38080
Tairāwhiti,41965,2022-02-26,3,107,19643
Taranaki,102147,2022-02-26,1,12,96863
Taranaki,102147,2022-02-26,2,18,95100
Taranaki,102147,2022-02-26,3,605,51292
Hawke's Bay,145571,2022-02-26,1,17,141461
Hawke's Bay,145571,2022-02-26,2,41,138528
Hawke's Bay,145571,2022-02-26,3,609,78027
MidCentral,152302,2022-02-26,1,4,147404
MidCentral,152302,2022-02-26,2,36,144927
MidCentral,152302,2022-02-26,3,939,85315
Whanganui,57247,2022-02-26,1,3,52873
Whanganui,57247,2022-02-26,2,15,51767
Whanganui,57247,2022-02-26,3,192,30343
Capital and Coast,271174,2022-02-26,1,4,267779
Capital and Coast,271174,2022-02-26,2,32,265351
Capital and Coast,271174,2022-02-26,3,1872,177072
Hutt Valley,130239,2022-02-26,1,16,126244
Hutt Valley,130239,2022-02-26,2,29,124601
Hutt Valley,130239,2022-02-26,3,885,76674
Wairarapa,41427,2022-02-26,1,8,40083
Wairarapa,41427,2022-02-26,2,10,39361
Wairarapa,41427,2022-02-26,3,229,23957
Nelson Marlborough,135743,2022-02-26,1,38,131441
Nelson Marlborough,135743,2022-02-26,2,55,129401
Nelson Marlborough,135743,2022-02-26,3,538,80760
West Coast,27906,2022-02-26,1,4,25972
West Coast,27906,2022-02-26,2,5,25441
West Coast,27906,2022-02-26,3,124,14958
Canterbury,482890,2022-02-26,1,59,482078
Canterbury,482890,2022-02-26,2,136,476397
Canterbury,482890,2022-02-26,3,4536,285985
South Canterbury,52584,2022-02-26,1,4,50194
South Canterbury,52584,2022-02-26,2,11,49505
South Canterbury,52584,2022-02-26,3,209,30583
Southern,288015,2022-02-26,1,22,281948
Southern,288015,2022-02-26,2,55,278267
Southern,288015,2022-02-26,3,1609,173079
Northland,161320,2022-02-27,1,1,145730
Northland,161320,2022-02-27,2,9,141676
Northland,161320,2022-02-27,3,214,78139
Waitematā,526087,2022-02-27,1,30,508064
Waitematā,526087,2022-02-27,2,45,502238
Waitematā,526087,2022-02-27,3,2196,294433
Auckland,423958,2022-02-27,1,6,421896
Auckland,423958,2022-02-27,2,18,417179
Auckland,423958,2022-02-27,3,1804,257069
Counties Manukau,482773,2022-02-27,1,34,465034
Counties Manukau,482773,2022-02-27,2,61,457717
Counties Manukau,482773,2022-02-27,3,1760,246500
Waikato,357176,2022-02-27,1,13,340432
Waikato,357176,2022-02-27,2,19,333915
Waikato,357176,2022-02-27,3,745,182109
Lakes,94419,2022-02-27,1,8,88398
Lakes,94419,2022-02-27,2,29,86324
Lakes,94419,2022-02-27,3,404,46321
Bay of Plenty,216941,2022-02-27,1,15,206754
Bay of Plenty,216941,2022-02-27,2,34,202417
Bay of Plenty,216941,2022-02-27,3,951,110165
Tairāwhiti,41965,2022-02-27,1,9,39216
Tairāwhiti,41965,2022-02-27,2,20,38100
Tairāwhiti,41965,2022-02-27,3,358,20001
Taranaki,102147,2022-02-27,1,11,96874
Taranaki,102147,2022-02-27,2,17,95117
Taranaki,102147,2022-02-27,3,290,51582
Hawke's Bay,145571,2022-02-27,1,2,141463
Hawke's Bay,145571,2022-02-27,2,42,138570
Hawke's Bay,145571,2022-02-27,3,540,78567
MidCentral,152302,2022-02-27,1,9,147413
MidCentral,152302,2022-02-27,2,19,144946
MidCentral,152302,2022-02-27,3,398,85713
Whanganui,57247,2022-02-27,1,2,52875
Whanganui,57247,2022-02-27,2,2,51769
Whanganui,57247,2022-02-27,3,94,30437
Capital and Coast,271174,2022-02-27,1,3,267782
Capital and Coast,271174,2022-02-27,2,8,265359
Capital and Coast,271174,2022-02-27,3,743,177815
Hutt Valley,130239,2022-02-27,1,1,126245
Hutt Valley,130239,2022-02-27,2,8,124609
Hutt Valley,130239,2022-02-27,3,471,77145
Wairarapa,41427,2022-02-27,1,-1,40082
Wairarapa,41427,2022-02-27,2,2,39363
Wairarapa,41427,2022-02-27,3,64,24021
Nelson Marlborough,135743,2022-02-27,1,15,131456
Nelson Marlborough,135743,2022-02-27,2,18,129419
Nelson Marlborough,135743,2022-02-27,3,262,81022
West Coast,27906,2022-02-27,1,0,25972
West Coast,27906,2022-02-27,2,2,25443
West Coast,27906,2022-02-27,3,20,14978
Canterbury,482890,2022-02-27,1,24,482102
Canterbury,482890,2022-02-27,2,53,476450
Canterbury,482890,2022-02-27,3,1775,287760
South Canterbury,52584,2022-02-27,1,-1,50193
South Canterbury,52584,2022-02-27,2,2,49507
South Canterbury,52584,2022-02-27,3,91,30674
Southern,288015,2022-02-27,1,18,281966
Southern,288015,2022-02-27,2,32,278299
Southern,288015,2022-02-27,3,537,173616
Northland,161320,2022-02-28,1,20,145750
Northland,161320,2022-02-28,2,42,141718
Northland,161320,2022-02-28,3,761,78900
Waitematā,526087,2022-02-28,1,18,508082
Waitematā,526087,2022-02-28,2,58,502296
Waitematā,526087,2022-02-28,3,3491,297924
Auckland,423958,2022-02-28,1,19,421915
Auckland,423958,2022-02-28,2,65,417244
Auckland,423958,2022-02-28,3,2564,259633
Counties Manukau,482773,2022-02-28,1,22,465056
Counties Manukau,482773,2022-02-28,2,57,457774
Counties Manukau,482773,2022-02-28,3,2464,248964
Waikato,357176,2022-02-28,1,60,340492
Waikato,357176,2022-02-28,2,82,333997
Waikato,357176,2022-02-28,3,1923,184032
Lakes,94419,2022-02-28,1,19,88417
Lakes,94419,2022-02-28,2,24,86348
Lakes,94419,2022-02-28,3,545,46866
Bay of Plenty,216941,2022-02-28,1,33,206787
Bay of Plenty,216941,2022-02-28,2,73,202490
Bay of Plenty,216941,2022-02-28,3,1262,111427
Tairāwhiti,41965,2022-02-28,1,11,39227
Tairāwhiti,41965,2022-02-28,2,8,38108
Tairāwhiti,41965,2022-02-28,3,196,20197
Taranaki,102147,2022-02-28,1,7,96881
Taranaki,102147,2022-02-28,2,13,95130
Taranaki,102147,2022-02-28,3,546,52128
Hawke's Bay,145571,2022-02-28,1,13,141476
Hawke's Bay,145571,2022-02-28,2,28,138598
Hawke's Bay,145571,2022-02-28,3,673,79240
MidCentral,152302,2022-02-28,1,29,147442
MidCentral,152302,2022-02-28,2,36,144982
MidCentral,152302,2022-02-28,3,815,86528
Whanganui,57247,2022-02-28,1,21,52896
Whanganui,57247,2022-02-28,2,28,51797
Whanganui,57247,2022-02-28,3,263,30700
Capital and Coast,271174,2022-02-28,1,39,267821
Capital and Coast,271174,2022-02-28,2,65,265424
Capital and Coast,271174,2022-02-28,3,2111,179926
Hutt Valley,130239,2022-02-28,1,1,126246
Hutt Valley,130239,2022-02-28,2,11,124620
Hutt Valley,130239,2022-02-28,3,759,77904
Wairarapa,41427,2022-02-28,1,3,40085
Wairarapa,41427,2022-02-28,2,0,39363
Wairarapa,41427,2022-02-28,3,195,24216
Nelson Marlborough,135743,2022-02-28,1,7,131463
Nelson Marlborough,135743,2022-02-28,2,24,129443
Nelson Marlborough,135743,2022-02-28,3,401,81423
West Coast,27906,2022-02-28,1,1,25973
West Coast,27906,2022-02-28,2,4,25447
West Coast,27906,2022-02-28,3,81,15059
Canterbury,482890,2022-02-28,1,55,482157
Canterbury,482890,2022-02-28,2,111,476561
Canterbury,482890,2022-02-28,3,3139,290899
South Canterbury,52584,2022-02-28,1,-3,50190
South Canterbury,52584,2022-02-28,2,10,49517
South Canterbury,52584,2022-02-28,3,247,30921
Southern,288015,2022-02-28,1,139,282105
Southern,288015,2022-02-28,2,153,278452
Southern,288015,2022-02-28,3,1374,174990
Northland,161320,2022-03-01,1,36,145786
Northland,161320,2022-03-01,2,73,141791
Northland,161320,2022-03-01,3,645,79545
Waitematā,526087,2022-03-01,1,26,508108
Waitematā,526087,2022-03-01,2,62,502358
Waitematā,526087,2022-03-01,3,2351,300275
Auckland,423958,2022-03-01,1,32,421947
Auckland,423958,2022-03-01,2,62,417306
Auckland,423958,2022-03-01,3,1894,261527
Counties Manukau,482773,2022-03-01,1,75,465131
Counties Manukau,482773,2022-03-01,2,115,457889
Counties Manukau,482773,2022-03-01,3,1767,250731
Waikato,357176,2022-03-01,1,91,340583
Waikato,357176,2022-03-01,2,123,334120
Waikato,357176,2022-03-01,3,1688,185720
Lakes,94419,2022-03-01,1,4,88421
Lakes,94419,2022-03-01,2,21,86369
Lakes,94419,2022-03-01,3,436,47302
Bay of Plenty,216941,2022-03-01,1,15,206802
Bay of Plenty,216941,2022-03-01,2,26,202516
Bay of Plenty,216941,2022-03-01,3,951,112378
Tairāwhiti,41965,2022-03-01,1,4,39231
Tairāwhiti,41965,2022-03-01,2,22,38130
Tairāwhiti,41965,2022-03-01,3,156,20353
Taranaki,102147,2022-03-01,1,1,96882
Taranaki,102147,2022-03-01,2,19,95149
Taranaki,102147,2022-03-01,3,498,52626
Hawke's Bay,145571,2022-03-01,1,43,141519
Hawke's Bay,145571,2022-03-01,2,60,138658
Hawke's Bay,145571,2022-03-01,3,602,79842
MidCentral,152302,2022-03-01,1,23,147465
MidCentral,152302,2022-03-01,2,51,145033
MidCentral,152302,2022-03-01,3,743,87271
Whanganui,57247,2022-03-01,1,10,52906
Whanganui,57247,2022-03-01,2,14,51811
Whanganui,57247,2022-03-01,3,180,30880
Capital and Coast,271174,2022-03-01,1,40,267861
Capital and Coast,271174,2022-03-01,2,53,265477
Capital and Coast,271174,2022-03-01,3,1369,181295
Hutt Valley,130239,2022-03-01,1,28,126274
Hutt Valley,130239,2022-03-01,2,34,124654
Hutt Valley,130239,2022-03-01,3,626,78530
Wairarapa,41427,2022-03-01,1,10,40095
Wairarapa,41427,2022-03-01,2,18,39381
Wairarapa,41427,2022-03-01,3,167,24383
Nelson Marlborough,135743,2022-03-01,1,12,131475
Nelson Marlborough,135743,2022-03-01,2,22,129465
Nelson Marlborough,135743,2022-03-01,3,441,81864
West Coast,27906,2022-03-01,1,1,25974
West Coast,27906,2022-03-01,2,4,25451
West Coast,27906,2022-03-01,3,177,15236
Canterbury,482890,2022-03-01,1,84,482241
Canterbury,482890,2022-03-01,2,123,476684
Canterbury,482890,2022-03-01,3,2916,293815
South Canterbury,52584,2022-03-01,1,-1,50189
South Canterbury,52584,2022-03-01,2,3,49520
South Canterbury,52584,2022-03-01,3,220,31141
Southern,288015,2022-03-01,1,114,282219
Southern,288015,2022-03-01,2,150,278602
Southern,288015,2022-03-01,3,1257,176247
Northland,161320,2022-03-02,1,14,145800
Northland,161320,2022-03-02,2,63,141854
Northland,161320,2022-03-02,3,749,80294
Waitematā,526087,2022-03-02,1,28,508136
Waitematā,526087,2022-03-02,2,57,502415
Waitematā,526087,2022-03-02,3,2033,302308
Auckland,423958,2022-03-02,1,29,421976
Auckland,423958,2022-03-02,2,67,417373
Auckland,423958,2022-03-02,3,1587,263114
Counties Manukau,482773,2022-03-02,1,40,465171
Counties Manukau,482773,2022-03-02,2,79,457968
Counties Manukau,482773,2022-03-02,3,1629,252360
Waikato,357176,2022-03-02,1,45,340628
Waikato,357176,2022-03-02,2,98,334218
Waikato,357176,2022-03-02,3,1606,187326
Lakes,94419,2022-03-02,1,8,88429
Lakes,94419,2022-03-02,2,21,86390
Lakes,94419,2022-03-02,3,358,47660
Bay of Plenty,216941,2022-03-02,1,23,206825
Bay of Plenty,216941,2022-03-02,2,47,202563
Bay of Plenty,216941,2022-03-02,3,815,113193
Tairāwhiti,41965,2022-03-02,1,12,39243
Tairāwhiti,41965,2022-03-02,2,23,38153
Tairāwhiti,41965,2022-03-02,3,213,20566
Taranaki,102147,2022-03-02,1,18,96900
Taranaki,102147,2022-03-02,2,27,95176
Taranaki,102147,2022-03-02,3,507,53133
Hawke's Bay,145571,2022-03-02,1,42,141561
Hawke's Bay,145571,2022-03-02,2,64,138722
Hawke's Bay,145571,2022-03-02,3,703,80545
MidCentral,152302,2022-03-02,1,48,147513
MidCentral,152302,2022-03-02,2,64,145097
MidCentral,152302,2022-03-02,3,719,87990
Whanganui,57247,2022-03-02,1,9,52915
Whanganui,57247,2022-03-02,2,22,51833
Whanganui,57247,2022-03-02,3,262,31142
Capital and Coast,271174,2022-03-02,1,34,267895
