School,Sector,Type,Authority,SchoolGender,AffiliationType,Affiliation,MāoriAffiliation,RegionalCouncil,TerritorialAuthority,Takiwa,EQI
Owairaka District School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Albert-Eden,Te Tai Raro,434
Owairoa Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,393
Owhata School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Rotorua,Te Tai Whenua,536
Owhiro Bay School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Wellington,Te Tai Runga,401
Oxford Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Waimakariri,Te Tai Runga,462
Oxford Crescent School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Upper Hutt,Te Tai Runga,448
Pa Harakeke Teen Parent Unit,Secondary,Teen Parent Unit,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,South Waikato,Te Tai Whenua,569
Pacific Advance Secondary School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Mangere-Otahuhu,Te Tai Raro,523
Paekākāriki School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Kapiti Coast,Te Tai Runga,411
Paengaroa School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Western Bay of Plenty,Te Tai Whenua,468
Paerata School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,498
Paeroa Central School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hauraki,Te Tai Whenua,547
Paeroa Christian School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Waikato,Hauraki,Te Tai Whenua,465
Paeroa College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hauraki,Te Tai Whenua,506
Pahiatua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Tararua,Te Tai Runga,475
Pahoia School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Western Bay of Plenty,Te Tai Whenua,425
Paihia School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,503
Pakaraka School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,533
Pakiri School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,416
Pakotai School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,544
Pakowhai School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,455
Pakuranga College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,432
Pakuranga Heights School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,444
Pakuranga Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,491
Palmerston North Adventist Christian School,Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,452
Palmerston North Boys' High School,Secondary,Secondary (Year 9-15),State: Not integrated,Single Sex-Boys,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,438
Palmerston North Girls' High School,Secondary,Secondary (Year 9-15),State: Not integrated,Single Sex-Girls,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,435
Palmerston North Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,426
Palmerston School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Waitaki,Te Tai Runga,459
Pamapuria School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,552
Panama Road School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,519
Panmure Bridge School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,501
Panmure District School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,487
Papakaio School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Waitaki,Te Tai Runga,441
Papakowhai School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,384
Papakura Central School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,442
Papakura High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,539
Papakura Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,Religious Affiliation,Anglican,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,549
Papakura Normal School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,492
Papamoa College,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Tauranga,Te Tai Whenua,458
Papanui High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,463
Papanui Junction School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,481
Papanui Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,447
Paparangi School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Wellington,Te Tai Runga,386
Paparimu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,449
Paparoa Range School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,West Coast,Grey,Te Tai Runga,518
Paparoa School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Kaipara,Te Tai Raro,475
Paparoa Street School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,392
Paparore School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,481
Papatoetoe Central School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,420
Papatoetoe East School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,462
Papatoetoe High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,473
Papatoetoe Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,478
Papatoetoe North School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,470
Papatoetoe South School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,481
Papatoetoe West School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,469
Parakai School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,487
Paraparaumu Beach School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Kapiti Coast,Te Tai Runga,438
Paraparaumu College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Kapiti Coast,Te Tai Runga,439
Paraparaumu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Kapiti Coast,Te Tai Runga,464
Parawai School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,465
Pareawa Banks Avenue School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,464
Paremata School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,401
Parkland School (P North),Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,444
Parklands School (Motueka),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tasman,Tasman,Te Tai Runga,505
Parkside Christian S D A School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Seventh Day Adventist,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,497
Parkside School,Specialist,Specialist School,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,492
Parkvale School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,463
Parkview Pārua,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,476
Parnell School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Waitemata,Te Tai Raro,385
Paroa School (Greymouth),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,West Coast,Grey,Te Tai Runga,449
Parua Bay School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,428
Pasadena Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Albert-Eden,Te Tai Raro,414
Patea Area School,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,South Taranaki,Te Tai Whenua,539
Paterangi School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,465
Patoka School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,468
Patricia Avenue School,Specialist,Specialist School,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,499
Patumahoe Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,411
Patutahi School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Gisborne,Gisborne,Te Tai Whenua,529
Pauatahanui School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,385
Auckland Montessori College,Secondary,Secondary (Year 7-15),Private: Fully Reg.,Co-Ed,Organisational Affiliation,Montessori,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,NA
Peachgrove Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,486
Pegasus Bay School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Waimakariri,Te Tai Runga,420
Pekapekarau School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,495
Pembroke School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,Stratford,Te Tai Whenua,486
Pembroke School (Oamaru),Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Waitaki,Te Tai Runga,494
Peninsula Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Henderson-Massey,Te Tai Raro,419
Peria School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,495
Te Whai Hiringa,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,535
Petone Central School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,474
Picton School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Marlborough,Marlborough,Te Tai Runga,497
Pigeon Mountain School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,356
Pillans Point School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Tauranga,Te Tai Whenua,404
Pine Hill School (Dunedin),Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,513
Pinehaven School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Upper Hutt,Te Tai Runga,395
Pinehill School (Browns Bay),Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Upper Harbour,Te Tai Raro,360
Pinehurst School,Composite,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Auckland,Auckland: Upper Harbour,Te Tai Raro,NA
Piopio College,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waitomo,Te Tai Whenua,505
Piopio Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waitomo,Te Tai Whenua,463
Pirinoa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,South Wairarapa,Te Tai Runga,495
Piripiri School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waitomo,Te Tai Whenua,507
Pirongia School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,426
Pitt Island School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Chatham Is. County,Chatham Islands Territory,Te Tai Runga,500
Plateau School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Upper Hutt,Te Tai Runga,417
Pleasant Point Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Timaru,Te Tai Runga,443
Plimmerton School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,391
Point Chevalier School Rangi-mata-rau,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Albert-Eden,Te Tai Raro,359
Point View School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,344
Pokeno School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Raro,436
Pokuru School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,454
Pomare School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,521
Pomaria Road School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Henderson-Massey,Te Tai Raro,492
Pompallier Catholic College,Secondary,Secondary (Year 7-15),State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Northland,Whangarei,Te Tai Raro,424
Pompallier Catholic School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Northland,Far North,Te Tai Raro,467
Ponatahi Christian School,Composite,Composite (Year 1-15),State: Integrated,Co-Ed,Religious Affiliation,Reformed Congregation of NZ,Not Applicable,Wellington,Carterton,Te Tai Runga,430
Pongakawa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Western Bay of Plenty,Te Tai Whenua,456
Pongaroa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Tararua,Te Tai Runga,481
Ponsonby Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Waitemata,Te Tai Raro,378
Ponsonby Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Waitemata,Te Tai Raro,362
Poolburn School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Central Otago,Te Tai Runga,428
Porangahau School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Central Hawke's Bay,Te Tai Whenua,487
Porirua College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,532
Porirua East School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,514
Porirua Montessori Primary School,Primary,Full Primary,Private: Prov.Reg.,Co-Ed,Organisational Affiliation,Montessori,Not Applicable,Wellington,Porirua,Te Tai Runga,NA
Porirua School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,520
Poroti School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,482
Poroutawhao School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Horowhenua,Te Tai Runga,463
Porritt School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,493
Port Ahuriri School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,424
Port Chalmers School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,446
Portland School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,528
Portobello School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Dunedin,Te Tai Runga,458
Postgate School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,469
Potaka School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Gisborne,Gisborne,Te Tai Whenua,517
Poukawa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,465
Pouto School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Kaipara,Te Tai Raro,526
Prebbleton School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Selwyn,Te Tai Runga,381
Prospect School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Waitakere Ranges,Te Tai Raro,506
Pt England School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Maungakiekie-Tamaki,Te Tai Raro,520
Puahue School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,418
Puawānanga Wairarapa Young Parents,Secondary,Teen Parent Unit,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Masterton,Te Tai Runga,569
Puhinui School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,436
Pukeatua Primary School (Wainuiomata),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,531
Pukeatua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,458
Pukehamoamoa School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,429
Pukehina School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Bay of Plenty,Western Bay of Plenty,Te Tai Whenua,547
Pukehou School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Central Hawke's Bay,Te Tai Whenua,451
Pukekawa School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Raro,448
Pukekohe Christian School,Composite,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,NA
Pukekohe East School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,402
Pukekohe High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,462
Pukekohe Hill School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,455
Pukekohe Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,459
Pukekohe North School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,562
Pukenui School (Kaitaia),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,491
Pukenui School (Te Kuiti),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waitomo,Te Tai Whenua,538
Pukeokahu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,478
Pukeoware School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Raro,442
Pukepoto School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,554
Pukerau School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Southland,Gore,Te Tai Runga,438
Pukerua Bay School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Porirua,Te Tai Runga,407
Puketaha School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,412
Puketapu School (Hawkes Bay),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,418
Puketapu School (New Plymouth),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,New Plymouth,Te Tai Whenua,478
Pukete School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,457
Puni School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,434
Puriri School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,480
Purua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,509
Putaruru Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,South Waikato,Te Tai Whenua,534
Putere School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Wairoa,Te Tai Whenua,477
Putorino School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,495
Putāruru College,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,South Waikato,Te Tai Whenua,514
