School,EthnicGroup,Level,Students
Diamond Harbour School,Māori,Year 6,3
Diamond Harbour School,European,Year 6,6
Diamond Harbour School,Māori,Year 7,4
Diamond Harbour School,European,Year 7,7
Diamond Harbour School,European,Year 8,6
Dilworth School,Māori,Year 10,20
Dilworth School,Pacific,Year 10,50
Dilworth School,Asian,Year 10,11
Dilworth School,MELAA,Year 10,1
Dilworth School,European,Year 10,10
Dilworth School,Māori,Year 11,24
Dilworth School,Pacific,Year 11,37
Dilworth School,Asian,Year 11,10
Dilworth School,European,Year 11,15
Dilworth School,Māori,Year 12,16
Dilworth School,Pacific,Year 12,34
Dilworth School,Asian,Year 12,6
Dilworth School,MELAA,Year 12,1
Dilworth School,European,Year 12,16
Dilworth School,Māori,Year 13,23
Dilworth School,Pacific,Year 13,27
Dilworth School,Asian,Year 13,7
Dilworth School,MELAA,Year 13,1
Dilworth School,European,Year 13,11
Dilworth School,Māori,Year 7,3
Dilworth School,Pacific,Year 7,17
Dilworth School,Asian,Year 7,7
Dilworth School,MELAA,Year 7,1
Dilworth School,European,Year 7,8
Dilworth School,Māori,Year 8,8
Dilworth School,Pacific,Year 8,29
Dilworth School,Asian,Year 8,6
Dilworth School,MELAA,Year 8,2
Dilworth School,Other,Year 8,1
Dilworth School,European,Year 8,3
Dilworth School,Māori,Year 9,18
Dilworth School,Pacific,Year 9,50
Dilworth School,Asian,Year 9,9
Dilworth School,European,Year 9,10
Diocesan School For Girls,Pacific,Year 1,1
Diocesan School For Girls,Asian,Year 1,28
Diocesan School For Girls,European,Year 1,5
Diocesan School For Girls,Māori,Year 10,11
Diocesan School For Girls,Pacific,Year 10,8
Diocesan School For Girls,Asian,Year 10,43
Diocesan School For Girls,MELAA,Year 10,1
Diocesan School For Girls,European,Year 10,119
Diocesan School For Girls,International fee paying,Year 10,3
Diocesan School For Girls,Māori,Year 11,13
Diocesan School For Girls,Pacific,Year 11,8
Diocesan School For Girls,Asian,Year 11,45
Diocesan School For Girls,MELAA,Year 11,3
Diocesan School For Girls,European,Year 11,110
Diocesan School For Girls,International fee paying,Year 11,3
Diocesan School For Girls,Māori,Year 12,7
Diocesan School For Girls,Pacific,Year 12,3
Diocesan School For Girls,Asian,Year 12,43
Diocesan School For Girls,MELAA,Year 12,2
Diocesan School For Girls,Other,Year 12,1
Diocesan School For Girls,European,Year 12,128
Diocesan School For Girls,International fee paying,Year 12,5
Diocesan School For Girls,Māori,Year 13,16
Diocesan School For Girls,Pacific,Year 13,5
Diocesan School For Girls,Asian,Year 13,27
Diocesan School For Girls,MELAA,Year 13,2
Diocesan School For Girls,European,Year 13,108
Diocesan School For Girls,International fee paying,Year 13,7
Diocesan School For Girls,Māori,Year 2,2
Diocesan School For Girls,Pacific,Year 2,2
Diocesan School For Girls,Asian,Year 2,40
Diocesan School For Girls,MELAA,Year 2,1
Diocesan School For Girls,Other,Year 2,1
Diocesan School For Girls,European,Year 2,16
Diocesan School For Girls,Māori,Year 3,3
Diocesan School For Girls,Pacific,Year 3,2
Diocesan School For Girls,Asian,Year 3,32
Diocesan School For Girls,European,Year 3,7
Diocesan School For Girls,International fee paying,Year 3,1
Diocesan School For Girls,Asian,Year 4,21
Diocesan School For Girls,Other,Year 4,2
Diocesan School For Girls,European,Year 4,24
Diocesan School For Girls,Māori,Year 5,1
Diocesan School For Girls,Pacific,Year 5,1
Diocesan School For Girls,Asian,Year 5,37
Diocesan School For Girls,MELAA,Year 5,1
Diocesan School For Girls,European,Year 5,29
Diocesan School For Girls,Māori,Year 6,3
Diocesan School For Girls,Pacific,Year 6,1
Diocesan School For Girls,Asian,Year 6,35
Diocesan School For Girls,MELAA,Year 6,1
Diocesan School For Girls,European,Year 6,36
Diocesan School For Girls,Māori,Year 7,5
Diocesan School For Girls,Pacific,Year 7,3
Diocesan School For Girls,Asian,Year 7,66
Diocesan School For Girls,European,Year 7,128
Diocesan School For Girls,International fee paying,Year 7,1
Diocesan School For Girls,Māori,Year 8,10
Diocesan School For Girls,Pacific,Year 8,3
Diocesan School For Girls,Asian,Year 8,71
Diocesan School For Girls,Other,Year 8,1
Diocesan School For Girls,European,Year 8,101
Diocesan School For Girls,International fee paying,Year 8,1
Diocesan School For Girls,Māori,Year 9,24
Diocesan School For Girls,Pacific,Year 9,5
Diocesan School For Girls,Asian,Year 9,39
Diocesan School For Girls,MELAA,Year 9,1
Diocesan School For Girls,Other,Year 9,2
Diocesan School For Girls,European,Year 9,144
Diocesan School For Girls,International fee paying,Year 9,3
Dipton School,Māori,Year 1,2
Dipton School,Asian,Year 1,1
Dipton School,European,Year 1,3
Dipton School,Māori,Year 2,3
Dipton School,Asian,Year 2,1
Dipton School,European,Year 2,1
Dipton School,Asian,Year 3,1
Dipton School,European,Year 3,7
Dipton School,Māori,Year 4,3
Dipton School,European,Year 4,5
Dipton School,Asian,Year 5,2
Dipton School,European,Year 5,1
Dipton School,Māori,Year 6,1
Dipton School,Asian,Year 6,1
Dipton School,European,Year 6,5
Dipton School,Māori,Year 7,1
Dipton School,Asian,Year 7,1
Dipton School,European,Year 7,1
Dipton School,Māori,Year 8,1
Dipton School,Asian,Year 8,1
Dipton School,European,Year 8,4
Discovery School,Māori,Year 1,7
Discovery School,Pacific,Year 1,1
Discovery School,Asian,Year 1,5
Discovery School,MELAA,Year 1,3
Discovery School,Other,Year 1,1
Discovery School,European,Year 1,35
Discovery School,Māori,Year 2,8
Discovery School,Pacific,Year 2,1
Discovery School,Asian,Year 2,4
Discovery School,MELAA,Year 2,3
Discovery School,Other,Year 2,1
Discovery School,European,Year 2,36
Discovery School,Māori,Year 3,6
Discovery School,Pacific,Year 3,4
Discovery School,Asian,Year 3,3
Discovery School,MELAA,Year 3,3
Discovery School,Other,Year 3,4
Discovery School,European,Year 3,37
Discovery School,Māori,Year 4,7
Discovery School,Pacific,Year 4,5
Discovery School,Asian,Year 4,7
Discovery School,MELAA,Year 4,6
Discovery School,Other,Year 4,4
Discovery School,European,Year 4,40
Discovery School,Māori,Year 5,17
Discovery School,Pacific,Year 5,1
Discovery School,Asian,Year 5,5
Discovery School,MELAA,Year 5,2
Discovery School,Other,Year 5,1
Discovery School,European,Year 5,31
Discovery School,Māori,Year 6,4
Discovery School,Pacific,Year 6,2
Discovery School,Asian,Year 6,9
Discovery School,MELAA,Year 6,2
Discovery School,Other,Year 6,2
Discovery School,European,Year 6,33
Discovery School,Māori,Year 7,10
Discovery School,Pacific,Year 7,3
Discovery School,Asian,Year 7,5
Discovery School,Other,Year 7,4
Discovery School,European,Year 7,41
Discovery School,Māori,Year 8,5
Discovery School,Pacific,Year 8,8
Discovery School,Asian,Year 8,4
Discovery School,Other,Year 8,6
Discovery School,European,Year 8,24
Dominion Road School,Māori,Year 1,6
Dominion Road School,Pacific,Year 1,6
Dominion Road School,Asian,Year 1,14
Dominion Road School,MELAA,Year 1,4
Dominion Road School,European,Year 1,1
Dominion Road School,Māori,Year 2,5
Dominion Road School,Pacific,Year 2,11
Dominion Road School,Asian,Year 2,11
Dominion Road School,MELAA,Year 2,2
Dominion Road School,European,Year 2,4
Dominion Road School,Māori,Year 3,5
Dominion Road School,Pacific,Year 3,20
Dominion Road School,Asian,Year 3,9
Dominion Road School,MELAA,Year 3,6
Dominion Road School,European,Year 3,5
Dominion Road School,Māori,Year 4,4
Dominion Road School,Pacific,Year 4,12
Dominion Road School,Asian,Year 4,19
Dominion Road School,MELAA,Year 4,5
Dominion Road School,European,Year 4,2
Dominion Road School,Māori,Year 5,9
Dominion Road School,Pacific,Year 5,16
Dominion Road School,Asian,Year 5,19
Dominion Road School,MELAA,Year 5,3
Dominion Road School,European,Year 5,5
Dominion Road School,Māori,Year 6,9
Dominion Road School,Pacific,Year 6,12
Dominion Road School,Asian,Year 6,12
Dominion Road School,MELAA,Year 6,5
Dominion Road School,European,Year 6,9
Dominion Road School,Māori,Year 7,1
Dominion Road School,Pacific,Year 7,4
Dominion Road School,Asian,Year 7,2
Dominion Road School,European,Year 7,1
Don Buck School,Māori,Year 1,4
Don Buck School,Pacific,Year 1,8
Don Buck School,Asian,Year 1,4
Don Buck School,MELAA,Year 1,2
Don Buck School,Other,Year 1,1
Don Buck School,European,Year 1,7
Don Buck School,Māori,Year 2,6
Don Buck School,Pacific,Year 2,8
Don Buck School,Asian,Year 2,3
Don Buck School,MELAA,Year 2,1
Don Buck School,Other,Year 2,2
Don Buck School,European,Year 2,9
Don Buck School,Māori,Year 3,6
Don Buck School,Pacific,Year 3,11
Don Buck School,Asian,Year 3,4
Don Buck School,European,Year 3,4
Don Buck School,Māori,Year 4,3
Don Buck School,Pacific,Year 4,13
Don Buck School,Asian,Year 4,3
Don Buck School,MELAA,Year 4,1
Don Buck School,European,Year 4,6
Don Buck School,Māori,Year 5,5
Don Buck School,Pacific,Year 5,13
Don Buck School,Asian,Year 5,1
Don Buck School,MELAA,Year 5,1
Don Buck School,European,Year 5,2
Don Buck School,Māori,Year 6,10
Don Buck School,Pacific,Year 6,11
Don Buck School,Asian,Year 6,6
Don Buck School,MELAA,Year 6,1
Don Buck School,European,Year 6,6
Don Buck School,Māori,Year 7,8
Don Buck School,Pacific,Year 7,8
Don Buck School,Asian,Year 7,9
Don Buck School,European,Year 7,6
Don Buck School,Māori,Year 8,8
Don Buck School,Pacific,Year 8,18
Don Buck School,Asian,Year 8,6
Don Buck School,MELAA,Year 8,2
Don Buck School,European,Year 8,6
Donovan Primary School,Māori,Year 1,21
Donovan Primary School,Pacific,Year 1,3
Donovan Primary School,Asian,Year 1,5
Donovan Primary School,European,Year 1,29
Donovan Primary School,Māori,Year 2,12
Donovan Primary School,Pacific,Year 2,2
Donovan Primary School,Asian,Year 2,5
Donovan Primary School,MELAA,Year 2,1
Donovan Primary School,European,Year 2,33
Donovan Primary School,Māori,Year 3,12
Donovan Primary School,Pacific,Year 3,2
Donovan Primary School,Asian,Year 3,7
Donovan Primary School,MELAA,Year 3,3
Donovan Primary School,European,Year 3,37
Donovan Primary School,Māori,Year 4,13
Donovan Primary School,Pacific,Year 4,2
Donovan Primary School,Asian,Year 4,6
Donovan Primary School,MELAA,Year 4,1
Donovan Primary School,Other,Year 4,1
Donovan Primary School,European,Year 4,43
Donovan Primary School,Māori,Year 5,12
Donovan Primary School,Pacific,Year 5,1
Donovan Primary School,Asian,Year 5,4
Donovan Primary School,MELAA,Year 5,1
Donovan Primary School,European,Year 5,42
Donovan Primary School,Māori,Year 6,14
Donovan Primary School,Pacific,Year 6,5
Donovan Primary School,Asian,Year 6,4
Donovan Primary School,European,Year 6,59
Donovan Primary School,Pacific,Year 7,2
Donovan Primary School,Other,Year 7,1
Donovan Primary School,European,Year 7,13
Dorie School,Asian,Year 1,2
Dorie School,Other,Year 1,1
Dorie School,European,Year 1,6
Dorie School,Asian,Year 2,3
Dorie School,European,Year 2,10
Dorie School,Pacific,Year 3,1
Dorie School,Asian,Year 3,3
Dorie School,MELAA,Year 3,2
Dorie School,European,Year 3,4
Dorie School,Māori,Year 4,3
Dorie School,Asian,Year 4,7
Dorie School,Other,Year 4,1
Dorie School,European,Year 4,6
Dorie School,Māori,Year 5,1
Dorie School,Pacific,Year 5,1
Dorie School,Asian,Year 5,2
Dorie School,European,Year 5,3
Dorie School,Māori,Year 6,1
Dorie School,Asian,Year 6,7
Dorie School,European,Year 6,9
Dorie School,Māori,Year 7,2
Dorie School,Asian,Year 7,4
Dorie School,European,Year 7,2
Dorie School,Māori,Year 8,1
Dorie School,European,Year 8,4
Douglas Park School,Māori,Year 1,28
Douglas Park School,Pacific,Year 1,1
Douglas Park School,Asian,Year 1,5
Douglas Park School,European,Year 1,29
Douglas Park School,Māori,Year 2,19
Douglas Park School,Pacific,Year 2,5
Douglas Park School,Asian,Year 2,2
Douglas Park School,European,Year 2,26
Douglas Park School,Māori,Year 3,24
Douglas Park School,Pacific,Year 3,4
Douglas Park School,Asian,Year 3,2
Douglas Park School,MELAA,Year 3,1
Douglas Park School,European,Year 3,34
Douglas Park School,Māori,Year 4,17
Douglas Park School,Pacific,Year 4,1
Douglas Park School,Asian,Year 4,2
Douglas Park School,Other,Year 4,1
Douglas Park School,European,Year 4,28
Douglas Park School,Māori,Year 5,21
Douglas Park School,Pacific,Year 5,3
Douglas Park School,Asian,Year 5,4
Douglas Park School,Other,Year 5,1
Douglas Park School,European,Year 5,37
Douglas Park School,Māori,Year 6,17
Douglas Park School,Pacific,Year 6,2
Douglas Park School,Asian,Year 6,1
Douglas Park School,MELAA,Year 6,1
Douglas Park School,European,Year 6,25
Douglas Park School,Māori,Year 7,2
Douglas Park School,Pacific,Year 7,1
Douglas Park School,MELAA,Year 7,2
Douglas Park School,European,Year 7,10
Dovedale School,European,Year 1,1
Dovedale School,Pacific,Year 2,1
Dovedale School,European,Year 2,2
Dovedale School,European,Year 3,1
Dovedale School,European,Year 4,4
Dovedale School,European,Year 5,4
Dovedale School,European,Year 6,4
Dovedale School,European,Year 7,5
Dovedale School,Māori,Year 8,1
Dovedale School,European,Year 8,4
Drummond Primary School,Māori,Year 1,4
Drummond Primary School,Pacific,Year 1,1
Drummond Primary School,Asian,Year 1,3
Drummond Primary School,European,Year 1,9
Drummond Primary School,Māori,Year 2,1
Drummond Primary School,Asian,Year 2,2
Drummond Primary School,European,Year 2,8
Drummond Primary School,Māori,Year 3,1
Drummond Primary School,Asian,Year 3,2
Drummond Primary School,European,Year 3,4
Drummond Primary School,Asian,Year 4,5
Drummond Primary School,European,Year 4,5
Drummond Primary School,Pacific,Year 5,1
Drummond Primary School,Asian,Year 5,1
Drummond Primary School,European,Year 5,10
Drummond Primary School,Māori,Year 6,2
Drummond Primary School,Asian,Year 6,3
Drummond Primary School,European,Year 6,3
Drummond Primary School,Māori,Year 7,3
Drummond Primary School,Asian,Year 7,2
Drummond Primary School,European,Year 7,4
Drummond Primary School,Asian,Year 8,2
Drummond Primary School,European,Year 8,3
Drury Christian School,European,Year 1,1
Drury Christian School,Asian,Year 10,3
Drury Christian School,Asian,Year 11,2
Drury Christian School,Other,Year 11,1
Drury Christian School,International fee paying,Year 11,1
Drury Christian School,Asian,Year 12,2
Drury Christian School,International fee paying,Year 12,2
Drury Christian School,European,Year 13,1
Drury Christian School,International fee paying,Year 15,1
Drury Christian School,Pacific,Year 3,1
Drury Christian School,Pacific,Year 4,1
Drury Christian School,Pacific,Year 5,1
Drury Christian School,International fee paying,Year 5,1
Drury Christian School,Pacific,Year 6,1
Drury Christian School,Asian,Year 6,1
Drury Christian School,Other,Year 6,1
Drury Christian School,Pacific,Year 7,1
Drury Christian School,Asian,Year 7,2
Drury Christian School,International fee paying,Year 7,1
Drury Christian School,European,Year 8,1
Drury Christian School,Asian,Year 9,1
Drury Christian School,Other,Year 9,1
Drury School,Māori,Year 1,11
Drury School,Pacific,Year 1,10
Drury School,Asian,Year 1,14
Drury School,European,Year 1,16
Drury School,Māori,Year 2,16
Drury School,Pacific,Year 2,6
Drury School,Asian,Year 2,15
Drury School,European,Year 2,20
Drury School,Māori,Year 3,20
Drury School,Pacific,Year 3,7
Drury School,Asian,Year 3,16
Drury School,European,Year 3,21
Drury School,Māori,Year 4,17
Drury School,Pacific,Year 4,2
Drury School,Asian,Year 4,9
Drury School,MELAA,Year 4,1
Drury School,European,Year 4,16
Drury School,Māori,Year 5,16
Drury School,Pacific,Year 5,6
Drury School,Asian,Year 5,16
Drury School,MELAA,Year 5,2
Drury School,Other,Year 5,1
Drury School,European,Year 5,18
Drury School,Māori,Year 6,19
Drury School,Pacific,Year 6,5
Drury School,Asian,Year 6,6
Drury School,European,Year 6,23
Drury School,Māori,Year 7,18
Drury School,Pacific,Year 7,4
Drury School,Asian,Year 7,6
Drury School,MELAA,Year 7,4
Drury School,European,Year 7,12
Drury School,Māori,Year 8,10
Drury School,Pacific,Year 8,5
Drury School,Asian,Year 8,7
Drury School,MELAA,Year 8,1
Drury School,European,Year 8,19
Dunedin North Intermediate,Māori,Year 7,33
Dunedin North Intermediate,Pacific,Year 7,4
Dunedin North Intermediate,Asian,Year 7,15
Dunedin North Intermediate,MELAA,Year 7,11
Dunedin North Intermediate,Other,Year 7,1
Dunedin North Intermediate,European,Year 7,80
Dunedin North Intermediate,Māori,Year 8,25
Dunedin North Intermediate,Pacific,Year 8,6
Dunedin North Intermediate,Asian,Year 8,11
Dunedin North Intermediate,MELAA,Year 8,5
Dunedin North Intermediate,Other,Year 8,1
Dunedin North Intermediate,European,Year 8,111
Dunedin Rudolf Steiner School,Māori,Year 1,1
Dunedin Rudolf Steiner School,Asian,Year 1,1
Dunedin Rudolf Steiner School,European,Year 1,8
Dunedin Rudolf Steiner School,Pacific,Year 2,2
Dunedin Rudolf Steiner School,Asian,Year 2,1
Dunedin Rudolf Steiner School,European,Year 2,9
Dunedin Rudolf Steiner School,Māori,Year 3,1
Dunedin Rudolf Steiner School,MELAA,Year 3,1
Dunedin Rudolf Steiner School,European,Year 3,7
Dunedin Rudolf Steiner School,Other,Year 4,1
Dunedin Rudolf Steiner School,European,Year 4,4
Dunedin Rudolf Steiner School,Māori,Year 5,4
Dunedin Rudolf Steiner School,Pacific,Year 5,1
Dunedin Rudolf Steiner School,Asian,Year 5,3
Dunedin Rudolf Steiner School,European,Year 5,9
Dunedin Rudolf Steiner School,Asian,Year 6,1
Dunedin Rudolf Steiner School,European,Year 6,2
Dunedin Rudolf Steiner School,European,Year 7,6
Dunedin Rudolf Steiner School,European,Year 8,2
Dunsandel School,Māori,Year 1,3
Dunsandel School,Pacific,Year 1,1
Dunsandel School,Asian,Year 1,4
Dunsandel School,European,Year 1,9
Dunsandel School,Māori,Year 2,2
Dunsandel School,Asian,Year 2,1
Dunsandel School,European,Year 2,11
Dunsandel School,Māori,Year 3,3
Dunsandel School,Asian,Year 3,7
Dunsandel School,Other,Year 3,1
Dunsandel School,European,Year 3,9
Dunsandel School,Māori,Year 4,1
Dunsandel School,Pacific,Year 4,1
Dunsandel School,Asian,Year 4,4
Dunsandel School,MELAA,Year 4,1
Dunsandel School,European,Year 4,11
Dunsandel School,Māori,Year 5,1
Dunsandel School,Asian,Year 5,4
Dunsandel School,European,Year 5,14
Dunsandel School,Asian,Year 6,2
Dunsandel School,European,Year 6,15
Dunstan High School,Māori,Year 10,26
Dunstan High School,Pacific,Year 10,3
Dunstan High School,Asian,Year 10,2
Dunstan High School,Other,Year 10,1
Dunstan High School,European,Year 10,76
Dunstan High School,Māori,Year 11,20
Dunstan High School,Pacific,Year 11,1
Dunstan High School,Asian,Year 11,5
Dunstan High School,MELAA,Year 11,1
Dunstan High School,European,Year 11,109
Dunstan High School,International fee paying,Year 11,1
Dunstan High School,Māori,Year 12,16
Dunstan High School,Pacific,Year 12,3
Dunstan High School,Asian,Year 12,1
Dunstan High School,MELAA,Year 12,1
Dunstan High School,Other,Year 12,4
Dunstan High School,European,Year 12,81
Dunstan High School,Māori,Year 13,18
Dunstan High School,Pacific,Year 13,1
Dunstan High School,Asian,Year 13,2
Dunstan High School,MELAA,Year 13,2
Dunstan High School,Other,Year 13,1
Dunstan High School,European,Year 13,55
Dunstan High School,European,Year 14,1
Dunstan High School,European,Year 15,2
Dunstan High School,Māori,Year 9,26
Dunstan High School,Pacific,Year 9,7
Dunstan High School,Asian,Year 9,5
Dunstan High School,MELAA,Year 9,7
Dunstan High School,European,Year 9,86
Duntroon School,Māori,Year 1,2
Duntroon School,Asian,Year 1,3
Duntroon School,European,Year 1,3
Duntroon School,Māori,Year 2,1
Duntroon School,Asian,Year 2,4
Duntroon School,European,Year 2,10
Duntroon School,Asian,Year 3,1
Duntroon School,MELAA,Year 3,1
Duntroon School,European,Year 3,6
Duntroon School,Māori,Year 4,1
Duntroon School,Asian,Year 4,2
Duntroon School,European,Year 4,8
Duntroon School,Māori,Year 5,1
Duntroon School,Asian,Year 5,2
Duntroon School,Other,Year 5,1
Duntroon School,European,Year 5,9
Duntroon School,Asian,Year 6,3
Duntroon School,European,Year 6,11
Duntroon School,Māori,Year 7,1
Duntroon School,European,Year 7,7
Duntroon School,Asian,Year 8,1
Duntroon School,Other,Year 8,1
Duntroon School,European,Year 8,7
Durie Hill School,Māori,Year 1,10
Durie Hill School,Asian,Year 1,1
Durie Hill School,European,Year 1,26
Durie Hill School,Māori,Year 2,12
Durie Hill School,European,Year 2,40
Durie Hill School,Māori,Year 3,6
Durie Hill School,European,Year 3,24
Durie Hill School,Māori,Year 4,10
Durie Hill School,Other,Year 4,1
Durie Hill School,European,Year 4,17
Durie Hill School,Māori,Year 5,9
Durie Hill School,Asian,Year 5,2
Durie Hill School,European,Year 5,31
Durie Hill School,Māori,Year 6,9
Durie Hill School,Asian,Year 6,1
Durie Hill School,European,Year 6,20
Durie Hill School,Māori,Year 7,1
Durie Hill School,European,Year 7,2
Duvauchelle School,Māori,Year 1,1
Duvauchelle School,European,Year 1,3
Duvauchelle School,Māori,Year 2,1
Duvauchelle School,Pacific,Year 2,1
Duvauchelle School,Asian,Year 2,1
Duvauchelle School,MELAA,Year 2,1
Duvauchelle School,European,Year 2,4
Duvauchelle School,Māori,Year 3,1
Duvauchelle School,Asian,Year 3,1
Duvauchelle School,European,Year 3,1
Duvauchelle School,Māori,Year 4,1
Duvauchelle School,MELAA,Year 4,1
Duvauchelle School,European,Year 4,3
Duvauchelle School,Māori,Year 5,2
Duvauchelle School,Asian,Year 5,2
Duvauchelle School,MELAA,Year 5,1
Duvauchelle School,European,Year 5,5
Duvauchelle School,Māori,Year 6,2
Duvauchelle School,Pacific,Year 6,1
Duvauchelle School,European,Year 6,6
Duvauchelle School,European,Year 8,1
Dyer Street School,Māori,Year 1,8
Dyer Street School,Pacific,Year 1,3
Dyer Street School,Asian,Year 1,3
Dyer Street School,MELAA,Year 1,3
Dyer Street School,European,Year 1,13
Dyer Street School,Māori,Year 2,7
Dyer Street School,Pacific,Year 2,2
Dyer Street School,Asian,Year 2,1
Dyer Street School,MELAA,Year 2,1
Dyer Street School,European,Year 2,13
Dyer Street School,Māori,Year 3,16
Dyer Street School,Pacific,Year 3,6
Dyer Street School,Asian,Year 3,2
Dyer Street School,European,Year 3,9
Dyer Street School,Māori,Year 4,7
Dyer Street School,Pacific,Year 4,5
Dyer Street School,Asian,Year 4,2
Dyer Street School,MELAA,Year 4,4
Dyer Street School,European,Year 4,11
Dyer Street School,Māori,Year 5,6
Dyer Street School,Pacific,Year 5,4
Dyer Street School,Asian,Year 5,4
Dyer Street School,MELAA,Year 5,1
Dyer Street School,European,Year 5,6
Dyer Street School,Māori,Year 6,4
Dyer Street School,Pacific,Year 6,2
Dyer Street School,Asian,Year 6,5
Dyer Street School,MELAA,Year 6,1
Dyer Street School,European,Year 6,9
Dyer Street School,Asian,Year 7,1
Dyer Street School,European,Year 7,2
East Gore School,Māori,Year 1,9
East Gore School,European,Year 1,7
East Gore School,Māori,Year 2,7
East Gore School,Pacific,Year 2,1
East Gore School,Asian,Year 2,1
East Gore School,MELAA,Year 2,1
East Gore School,European,Year 2,7
East Gore School,Māori,Year 3,5
East Gore School,European,Year 3,8
East Gore School,Māori,Year 4,3
East Gore School,European,Year 4,13
East Gore School,Māori,Year 5,9
East Gore School,Pacific,Year 5,1
East Gore School,Other,Year 5,1
East Gore School,European,Year 5,9
East Gore School,Māori,Year 6,5
East Gore School,Pacific,Year 6,1
East Gore School,MELAA,Year 6,1
East Gore School,Other,Year 6,1
East Gore School,European,Year 6,11
East Gore School,Māori,Year 7,2
East Gore School,European,Year 7,2
East Gore School,Māori,Year 8,1
East Otago High School,Māori,Year 10,9
East Otago High School,Pacific,Year 10,1
East Otago High School,MELAA,Year 10,2
East Otago High School,European,Year 10,16
East Otago High School,Māori,Year 11,4
East Otago High School,MELAA,Year 11,1
East Otago High School,European,Year 11,19
East Otago High School,Māori,Year 12,7
East Otago High School,European,Year 12,8
East Otago High School,Māori,Year 13,3
East Otago High School,Pacific,Year 13,1
East Otago High School,European,Year 13,7
East Otago High School,Māori,Year 7,4
East Otago High School,Pacific,Year 7,1
East Otago High School,MELAA,Year 7,1
East Otago High School,European,Year 7,17
East Otago High School,Māori,Year 8,9
East Otago High School,European,Year 8,25
East Otago High School,Māori,Year 9,6
East Otago High School,Pacific,Year 9,1
East Otago High School,Asian,Year 9,1
East Otago High School,Other,Year 9,1
East Otago High School,European,Year 9,23
East Taieri School,Māori,Year 1,10
East Taieri School,Pacific,Year 1,1
East Taieri School,Asian,Year 1,1
East Taieri School,European,Year 1,50
East Taieri School,Māori,Year 2,4
East Taieri School,Asian,Year 2,5
East Taieri School,European,Year 2,34
East Taieri School,Māori,Year 3,4
East Taieri School,Asian,Year 3,2
East Taieri School,European,Year 3,47
East Taieri School,Māori,Year 4,4
East Taieri School,Asian,Year 4,2
East Taieri School,European,Year 4,39
East Taieri School,Māori,Year 5,6
East Taieri School,Pacific,Year 5,1
East Taieri School,Asian,Year 5,1
East Taieri School,MELAA,Year 5,2
East Taieri School,European,Year 5,44
East Taieri School,Māori,Year 6,5
East Taieri School,Pacific,Year 6,1
East Taieri School,Asian,Year 6,2
East Taieri School,European,Year 6,33
East Taieri School,European,Year 7,6
East Tamaki School,Māori,Year 1,2
East Tamaki School,Pacific,Year 1,16
East Tamaki School,Māori,Year 2,2
East Tamaki School,Pacific,Year 2,14
East Tamaki School,Māori,Year 3,6
East Tamaki School,Pacific,Year 3,28
East Tamaki School,Māori,Year 4,5
East Tamaki School,Pacific,Year 4,33
East Tamaki School,Asian,Year 4,1
East Tamaki School,Māori,Year 5,5
East Tamaki School,Pacific,Year 5,18
East Tamaki School,Asian,Year 5,1
East Tamaki School,Māori,Year 6,5
East Tamaki School,Pacific,Year 6,16
East Tamaki School,Māori,Year 7,1
East Tamaki School,Pacific,Year 7,6
Eastern Hutt School,Māori,Year 1,5
Eastern Hutt School,Pacific,Year 1,6
Eastern Hutt School,Asian,Year 1,40
Eastern Hutt School,MELAA,Year 1,2
Eastern Hutt School,European,Year 1,26
Eastern Hutt School,Māori,Year 2,10
Eastern Hutt School,Asian,Year 2,52
Eastern Hutt School,MELAA,Year 2,3
Eastern Hutt School,Other,Year 2,1
Eastern Hutt School,European,Year 2,25
Eastern Hutt School,Māori,Year 3,11
Eastern Hutt School,Pacific,Year 3,2
Eastern Hutt School,Asian,Year 3,49
Eastern Hutt School,MELAA,Year 3,6
Eastern Hutt School,European,Year 3,30
Eastern Hutt School,Māori,Year 4,7
Eastern Hutt School,Pacific,Year 4,1
Eastern Hutt School,Asian,Year 4,32
Eastern Hutt School,MELAA,Year 4,3
Eastern Hutt School,European,Year 4,38
Eastern Hutt School,Māori,Year 5,8
Eastern Hutt School,Pacific,Year 5,1
Eastern Hutt School,Asian,Year 5,53
Eastern Hutt School,MELAA,Year 5,4
Eastern Hutt School,Other,Year 5,1
Eastern Hutt School,European,Year 5,28
Eastern Hutt School,Māori,Year 6,19
Eastern Hutt School,Pacific,Year 6,5
Eastern Hutt School,Asian,Year 6,55
Eastern Hutt School,MELAA,Year 6,4
Eastern Hutt School,Other,Year 6,1
Eastern Hutt School,European,Year 6,30
Eastern Hutt School,Pacific,Year 7,1
Eastern Hutt School,Asian,Year 7,7
Eastern Hutt School,MELAA,Year 7,1
Eastern Hutt School,European,Year 7,4
Ebbett Park School,Māori,Year 1,15
Ebbett Park School,Pacific,Year 1,4
Ebbett Park School,Asian,Year 1,2
Ebbett Park School,European,Year 1,2
Ebbett Park School,Māori,Year 2,13
Ebbett Park School,Pacific,Year 2,4
Ebbett Park School,Asian,Year 2,1
Ebbett Park School,European,Year 2,4
Ebbett Park School,Māori,Year 3,13
Ebbett Park School,Pacific,Year 3,3
Ebbett Park School,European,Year 3,6
Ebbett Park School,Māori,Year 4,19
Ebbett Park School,Pacific,Year 4,2
Ebbett Park School,Asian,Year 4,1
