school,long,lat,x,y
TKKM o Nga Mokopuna,174.831726,-41.320703,1753305.2409333813,5424022.536243561
Te Rangi Aniwaniwa,173.289687,-35.070132,1626411.8823686065,6119141.154054482
Nelson Christian Academy,173.244053,-41.31628,1620426.8100771932,5426103.1686677225
Sonrise Christian School,177.992676,-38.641969,2034616.7918938582,5711111.917647549
TKKM o Te Puaha o Waikato,174.724639,-37.392886,1752664.5654492653,5860146.50983789
TKKM o Te Koutu,176.234359,-38.119256,1883543.757407399,5776009.895960676
TKKM o Te Rawhiti Roa,174.326641,-35.677213,1720055.807591898,6051041.67865771
Horizon School,174.731165,-36.427977,1755185.422337015,5967188.548053928
Everglade School,174.895434,-36.997085,1768663.2636480213,5903771.804936854
TKKM o Ruamata,176.322678,-38.095665,1891382.217695318,5778354.610425669
Wanaka Primary School,169.136735,-44.683945,1293843.5402128513,5044894.687415984
Emmanuel Christian School,172.588279,-43.478668,1566702.9605712686,5185945.385453497
Paeroa Christian School,175.664909,-37.366647,1835992.3731033243,5861120.809505906
Whakatane S D A School,176.975389,-37.96151,1949279.6076645677,5790995.100530363
Cornerstone Christian School,175.650623,-40.331,1825173.3289560282,5532131.705504048
Kaikohe Christian School,173.806566,-35.411304,1673231.0977140428,6081044.652279936
Te Huruhi School,175.028103,-36.800746,1780933.1673984583,5925312.4327358715
Tasman Bay Christian School,173.055609,-41.195405,1604662.9626896938,5439549.27015104
Maranatha Christian School,174.913914,-41.182642,1760521.9750445324,5439201.902946668
Hāwera Christian School,174.275137,-39.595129,1709487.1328208598,5616401.341351614
Matahui School,175.947272,-37.598693,1860195.9183525685,5834624.171250362
Matamata Christian School,175.762633,-37.816167,1843179.6274772855,5810985.136982793
Tauranga Waldorf School,176.205671,-37.728787,1882520.0614319562,5819436.763349557
Wā Ora Montessori,174.962095,-41.201665,1764515.5255810767,5436999.891478171
Elim Christian College,174.915749,-36.913922,1770656.7053163175,5912962.522667885
Dunedin Rudolf Steiner School,170.565766,-45.859004,1411035.0704777625,4918736.428492439
Red Beach School,174.701332,-36.60918,1752155.569853833,5947133.717970339
Adventure School,174.890084,-41.120037,1758674.1642356096,5446196.054253462
Ahuroa School,174.553401,-36.473168,1739168.2665967413,5962446.602253359
Aka Aka School,174.803977,-37.283231,1759920.5615793804,5872181.817940339
Albany School,174.690624,-36.736702,1750948.4458510485,5933003.197929561
Alfriston School,174.940054,-37.016728,1772589.7107116235,5901512.381845437
Anchorage Park School,174.867013,-36.919697,1766302.274364204,5912407.913733871
Arahoe School,174.674452,-36.922866,1749142.4755957087,5912374.880733076
Ararimu School,175.037192,-37.140652,1780937.3390172445,5887581.84650971
Ardmore School,174.999905,-37.033892,1777874.680198199,5899497.7221173085
Arohanui Special School,174.652675,-36.881324,1747282.5051393546,5917017.577813575
Northern Health School,174.762424,-36.864132,1757099.1372186625,5918749.951803571
Auckland Normal Intermediate,174.765702,-36.885383,1757347.7442561253,5916386.843689138
Avondale Intermediate,174.692917,-36.890869,1750850.2822770816,5915895.747651072
Avondale Primary School (Auckland),174.698538,-36.896286,1751340.4935717692,5915285.856677662
Awhitu District School,174.616355,-37.113261,1743608.543392785,5891340.650609052
Sir Douglas Bader Intermediate School,174.801426,-36.967322,1760359.7473834096,5907236.430282479
Bailey Road School,174.827157,-36.909115,1762774.2953072109,5913650.739313584
Sir Edmund Hillary Collegiate Middle School,174.878555,-36.950392,1767263.3485563956,5908982.146452146
Bairds Mainfreight Primary School,174.86696,-36.959509,1766211.024681033,5907990.919582996
Balmoral School (Auckland),174.745822,-36.884573,1755577.6579872072,5916509.307231151
Bayfield School,174.731367,-36.847738,1754363.5109861884,5920619.438669071
Bayswater School,174.787647,-36.809716,1759460.6404849729,5924745.359112009
Bayview School,174.706554,-36.772258,1752300.5594295824,5929033.2866166495
Beach Haven School,174.691075,-36.7939,1750876.582581906,5926656.787193352
Beachlands School,174.999507,-36.884661,1778186.8318874985,5916055.850818822
Belmont Intermediate,174.789451,-36.803593,1759634.289914913,5925421.664568918
Belmont School (Auckland),174.791388,-36.806214,1759801.6543434807,5925127.641447296
Birdwood School,174.601802,-36.85602,1742795.5853495724,5919902.183700869
Birkdale Intermediate,174.700666,-36.796118,1751727.9806117602,5926395.539479706
Birkdale North School,174.701508,-36.790698,1751813.805825356,5926995.515967297
Birkdale Primary School,174.703494,-36.800327,1751971.9882368068,5925924.087395156
Birkenhead School,174.723844,-36.811005,1753766.246124743,5924706.88912325
