Year,DHB,Month,Count
2015,Tairawhiti,October,4
2015,Tairawhiti,November,8
2015,Tairawhiti,December,7
2015,Taranaki,January,23
2015,Taranaki,February,13
2015,Taranaki,March,21
2015,Taranaki,April,15
2015,Taranaki,May,8
2015,Taranaki,June,11
2015,Taranaki,July,12
2015,Taranaki,August,23
2015,Taranaki,September,14
2015,Taranaki,October,30
2015,Taranaki,November,25
2015,Taranaki,December,30
2015,Hawke's Bay,January,27
2015,Hawke's Bay,February,15
2015,Hawke's Bay,March,15
2015,Hawke's Bay,April,8
2015,Hawke's Bay,May,18
2015,Hawke's Bay,June,13
2015,Hawke's Bay,July,16
2015,Hawke's Bay,August,21
2015,Hawke's Bay,September,21
2015,Hawke's Bay,October,25
2015,Hawke's Bay,November,35
2015,Hawke's Bay,December,32
2015,Whanganui,January,11
2015,Whanganui,February,6
2015,Whanganui,March,2
2015,Whanganui,April,7
2015,Whanganui,May,4
2015,Whanganui,June,2
2015,Whanganui,July,5
2015,Whanganui,August,4
2015,Whanganui,September,11
2015,Whanganui,October,9
2015,Whanganui,November,13
2015,Whanganui,December,13
2015,MidCentral,January,19
2015,MidCentral,February,14
2015,MidCentral,March,26
2015,MidCentral,April,5
2015,MidCentral,May,3
2015,MidCentral,June,9
2015,MidCentral,July,12
2015,MidCentral,August,10
2015,MidCentral,September,25
2015,MidCentral,October,12
2015,MidCentral,November,33
2015,MidCentral,December,28
2015,Hutt Valley,January,28
2015,Hutt Valley,February,23
2015,Hutt Valley,March,15
2015,Hutt Valley,April,9
2015,Hutt Valley,May,7
2015,Hutt Valley,June,8
2015,Hutt Valley,July,21
2015,Hutt Valley,August,13
2015,Hutt Valley,September,20
2015,Hutt Valley,October,12
2015,Hutt Valley,November,21
2015,Hutt Valley,December,18
2015,Capital and Coast,January,44
2015,Capital and Coast,February,37
2015,Capital and Coast,March,30
2015,Capital and Coast,April,25
2015,Capital and Coast,May,29
2015,Capital and Coast,June,28
2015,Capital and Coast,July,36
2015,Capital and Coast,August,35
2015,Capital and Coast,September,21
2015,Capital and Coast,October,24
2015,Capital and Coast,November,31
2015,Capital and Coast,December,48
2015,Wairarapa,January,6
2015,Wairarapa,February,3
2015,Wairarapa,March,4
2015,Wairarapa,April,7
2015,Wairarapa,May,5
2015,Wairarapa,June,6
2015,Wairarapa,July,5
2015,Wairarapa,August,7
2015,Wairarapa,September,4
2015,Wairarapa,October,8
2015,Wairarapa,November,8
2015,Wairarapa,December,9
2015,Nelson Marlborough,January,17
2015,Nelson Marlborough,February,17
2015,Nelson Marlborough,March,18
2015,Nelson Marlborough,April,15
2015,Nelson Marlborough,May,21
2015,Nelson Marlborough,June,10
2015,Nelson Marlborough,July,13
2015,Nelson Marlborough,August,19
2015,Nelson Marlborough,September,19
2015,Nelson Marlborough,October,22
2015,Nelson Marlborough,November,21
2015,Nelson Marlborough,December,25
2015,West Coast,January,6
2015,West Coast,February,6
2015,West Coast,March,4
2015,West Coast,April,3
2015,West Coast,May,6
2015,West Coast,June,2
2015,West Coast,July,5
2015,West Coast,August,7
2015,West Coast,September,7
2015,West Coast,October,11
2015,West Coast,November,14
2015,West Coast,December,9
2015,Canterbury,January,89
2015,Canterbury,February,52
2015,Canterbury,March,40
2015,Canterbury,April,36
2015,Canterbury,May,61
2015,Canterbury,June,41
2015,Canterbury,July,41
2015,Canterbury,August,54
2015,Canterbury,September,67
2015,Canterbury,October,69
2015,Canterbury,November,90
2015,Canterbury,December,89
2015,South Canterbury,January,19
2015,South Canterbury,February,8
2015,South Canterbury,March,9
2015,South Canterbury,April,8
2015,South Canterbury,May,8
2015,South Canterbury,June,3
2015,South Canterbury,July,6
2015,South Canterbury,August,9
2015,South Canterbury,September,11
2015,South Canterbury,October,13
2015,South Canterbury,November,17
2015,South Canterbury,December,15
2015,Southern,January,50
2015,Southern,February,46
2015,Southern,March,38
2015,Southern,April,36
2015,Southern,May,37
2015,Southern,June,34
2015,Southern,July,25
2015,Southern,August,27
2015,Southern,September,52
2015,Southern,October,47
2015,Southern,November,56
2015,Southern,December,67
2016,Northland,January,32
2016,Waitemata,January,112
2016,Auckland,January,56
2016,Counties Manukau,January,61
2016,Waikato,January,63
2016,Lakes,January,18
2016,Bay of Plenty,January,27
2016,Tairawhiti,January,4
2016,Taranaki,January,27
2016,Hawke's Bay,January,36
2016,Whanganui,January,12
2016,MidCentral,January,24
2016,Hutt Valley,January,19
2016,Capital and Coast,January,42
2016,Wairarapa,January,6
2016,Nelson Marlborough,January,24
2016,West Coast,January,5
2016,Canterbury,January,67
2016,South Canterbury,January,23
2016,Southern,January,62
2016,Northland,February,20
2016,Waitemata,February,55
2016,Auckland,February,39
2016,Counties Manukau,February,39
2016,Waikato,February,30
2016,Lakes,February,8
2016,Bay of Plenty,February,15
2016,Tairawhiti,February,6
2016,Taranaki,February,22
2016,Hawke's Bay,February,16
2016,Whanganui,February,2
2016,MidCentral,February,18
2016,Hutt Valley,February,13
2016,Capital and Coast,February,24
2016,Wairarapa,February,5
2016,Nelson Marlborough,February,15
2016,West Coast,February,2
2016,Canterbury,February,64
2016,South Canterbury,February,13
2016,Southern,February,48
2016,Northland,March,25
2016,Waitemata,March,39
2016,Auckland,March,43
2016,Counties Manukau,March,28
2016,Waikato,March,44
2016,Lakes,March,7
2016,Bay of Plenty,March,16
2016,Tairawhiti,March,4
2016,Taranaki,March,14
2016,Hawke's Bay,March,8
2016,Whanganui,March,3
2016,MidCentral,March,16
2016,Hutt Valley,March,12
2016,Capital and Coast,March,27
2016,Wairarapa,March,4
2016,Nelson Marlborough,March,10
2016,West Coast,March,5
2016,Canterbury,March,58
2016,South Canterbury,March,14
2016,Southern,March,39
2016,Northland,April,8
2016,Waitemata,April,46
2016,Auckland,April,31
2016,Counties Manukau,April,32
2016,Waikato,April,47
2016,Lakes,April,7
2016,Bay of Plenty,April,12
2016,Tairawhiti,April,4
2016,Taranaki,April,9
2016,Hawke's Bay,April,28
2016,Whanganui,April,4
2016,MidCentral,April,10
2016,Hutt Valley,April,14
2016,Capital and Coast,April,22
2016,Wairarapa,April,2
2016,Nelson Marlborough,April,11
2016,West Coast,April,2
2016,Canterbury,April,35
2016,South Canterbury,April,5
2016,Southern,April,36
2016,Northland,May,16
2016,Waitemata,May,43
2016,Auckland,May,30
2016,Counties Manukau,May,31
2016,Waikato,May,27
2016,Lakes,May,7
2016,Bay of Plenty,May,16
2016,Tairawhiti,May,6
2016,Taranaki,May,15
2016,Hawke's Bay,May,28
2016,Whanganui,May,4
2016,MidCentral,May,16
2016,Hutt Valley,May,11
2016,Capital and Coast,May,21
2016,Wairarapa,May,1
2016,Nelson Marlborough,May,14
2016,West Coast,May,3
2016,Canterbury,May,54
2016,South Canterbury,May,8
2016,Southern,May,40
2016,Northland,June,6
2016,Waitemata,June,37
2016,Auckland,June,32
2016,Counties Manukau,June,26
2016,Waikato,June,23
2016,Lakes,June,9
2016,Bay of Plenty,June,21
2016,Tairawhiti,June,6
2016,Taranaki,June,5
2016,Hawke's Bay,June,16
2016,Whanganui,June,8
2016,MidCentral,June,20
2016,Hutt Valley,June,7
2016,Capital and Coast,June,33
2016,Wairarapa,June,4
2016,Nelson Marlborough,June,9
2016,West Coast,June,5
2016,Canterbury,June,34
2016,South Canterbury,June,4
2016,Southern,June,29
2016,Northland,July,22
2016,Waitemata,July,60
2016,Auckland,July,35
2016,Counties Manukau,July,27
2016,Waikato,July,33
2016,Lakes,July,3
2016,Bay of Plenty,July,22
2016,Tairawhiti,July,4
2016,Taranaki,July,5
2016,Hawke's Bay,July,14
2016,Whanganui,July,5
2016,MidCentral,July,19
2016,Hutt Valley,July,9
2016,Capital and Coast,July,31
2016,Wairarapa,July,0
2016,Nelson Marlborough,July,8
2016,West Coast,July,0
2016,Canterbury,July,23
2016,South Canterbury,July,6
2016,Southern,July,16
2016,Northland,August,40
2016,Waitemata,August,76
2016,Auckland,August,34
2016,Counties Manukau,August,35
2016,Waikato,August,46
2016,Lakes,August,11
2016,Bay of Plenty,August,23
2016,Tairawhiti,August,3
2016,Taranaki,August,15
2016,Hawke's Bay,August,627
2016,Whanganui,August,12
2016,MidCentral,August,22
2016,Hutt Valley,August,12
2016,Capital and Coast,August,40
2016,Wairarapa,August,7
2016,Nelson Marlborough,August,10
2016,West Coast,August,1
2016,Canterbury,August,62
2016,South Canterbury,August,9
2016,Southern,August,29
2016,Northland,September,38
2016,Waitemata,September,43
2016,Auckland,September,32
2016,Counties Manukau,September,38
2016,Waikato,September,56
2016,Lakes,September,19
2016,Bay of Plenty,September,22
2016,Tairawhiti,September,11
2016,Taranaki,September,23
2016,Hawke's Bay,September,58
2016,Whanganui,September,9
2016,MidCentral,September,23
2016,Hutt Valley,September,12
2016,Capital and Coast,September,28
2016,Wairarapa,September,7
2016,Nelson Marlborough,September,13
2016,West Coast,September,8
2016,Canterbury,September,72
2016,South Canterbury,September,16
2016,Southern,September,43
2016,Northland,October,28
2016,Waitemata,October,79
2016,Auckland,October,53
2016,Counties Manukau,October,58
2016,Waikato,October,70
2016,Lakes,October,10
2016,Bay of Plenty,October,23
2016,Tairawhiti,October,4
2016,Taranaki,October,35
2016,Hawke's Bay,October,172
2016,Whanganui,October,15
2016,MidCentral,October,32
2016,Hutt Valley,October,20
2016,Capital and Coast,October,40
2016,Wairarapa,October,17
2016,Nelson Marlborough,October,21
2016,West Coast,October,7
2016,Canterbury,October,100
2016,South Canterbury,October,22
2016,Southern,October,50
2016,Northland,November,26
2016,Waitemata,November,88
2016,Auckland,November,66
2016,Counties Manukau,November,80
2016,Waikato,November,63
2016,Lakes,November,19
2016,Bay of Plenty,November,25
2016,Tairawhiti,November,12
2016,Taranaki,November,28
2016,Hawke's Bay,November,296
2016,Whanganui,November,18
2016,MidCentral,November,54
2016,Hutt Valley,November,34
2016,Capital and Coast,November,52
2016,Wairarapa,November,10
2016,Nelson Marlborough,November,19
2016,West Coast,November,12
2016,Canterbury,November,96
2016,South Canterbury,November,18
2016,Southern,November,87
2016,Northland,December,28
2016,Waitemata,December,95
2016,Auckland,December,69
2016,Counties Manukau,December,51
2016,Waikato,December,61
2016,Lakes,December,12
2016,Bay of Plenty,December,24
2016,Tairawhiti,December,10
2016,Taranaki,December,38
2016,Hawke's Bay,December,37
2016,Whanganui,December,10
2016,MidCentral,December,42
2016,Hutt Valley,December,32
2016,Capital and Coast,December,53
2016,Wairarapa,December,10
2016,Nelson Marlborough,December,20
2016,West Coast,December,10
2016,Canterbury,December,97
2016,South Canterbury,December,13
2016,Southern,December,84
2017,Northland,January,23
2017,Waitemata,January,67
2017,Auckland,January,47
2017,Counties Manukau,January,49
2017,Waikato,January,64
2017,Lakes,January,14
2017,Bay of Plenty,January,32
2017,Tairawhiti,January,9
2017,Taranaki,January,17
2017,Hawke's Bay,January,22
2017,Whanganui,January,8
2017,MidCentral,January,24
2017,Hutt Valley,January,15
2017,Capital and Coast,January,47
2017,Wairarapa,January,3
2017,Nelson Marlborough,January,26
2017,West Coast,January,3
2017,Canterbury,January,109
2017,South Canterbury,January,12
2017,Southern,January,72
2017,Northland,February,19
2017,Waitemata,February,59
2017,Auckland,February,38
2017,Counties Manukau,February,43
2017,Waikato,February,43
2017,Lakes,February,17
2017,Bay of Plenty,February,19
2017,Tairawhiti,February,2
2017,Taranaki,February,24
2017,Hawke's Bay,February,24
2017,Whanganui,February,8
2017,MidCentral,February,24
2017,Hutt Valley,February,15
2017,Capital and Coast,February,34
2017,Wairarapa,February,5
2017,Nelson Marlborough,February,15
2017,West Coast,February,3
2017,Canterbury,February,59
2017,South Canterbury,February,10
2017,Southern,February,97
2017,Northland,March,10
2017,Waitemata,March,29
2017,Auckland,March,48
2017,Counties Manukau,March,35
2017,Waikato,March,30
2017,Lakes,March,15
2017,Bay of Plenty,March,9
2017,Tairawhiti,March,3
2017,Taranaki,March,12
2017,Hawke's Bay,March,13
2017,Whanganui,March,6
2017,MidCentral,March,22
2017,Hutt Valley,March,17
2017,Capital and Coast,March,26
2017,Wairarapa,March,3
2017,Nelson Marlborough,March,18
2017,West Coast,March,4
2017,Canterbury,March,54
2017,South Canterbury,March,16
2017,Southern,March,66
2017,Northland,April,17
2017,Waitemata,April,44
2017,Auckland,April,29
2017,Counties Manukau,April,26
2017,Waikato,April,23
2017,Lakes,April,8
2017,Bay of Plenty,April,19
2017,Tairawhiti,April,3
2017,Taranaki,April,11
2017,Hawke's Bay,April,16
2017,Whanganui,April,7
2017,MidCentral,April,16
2017,Hutt Valley,April,9
2017,Capital and Coast,April,22
2017,Wairarapa,April,3
2017,Nelson Marlborough,April,14
2017,West Coast,April,2
2017,Canterbury,April,38
2017,South Canterbury,April,7
2017,Southern,April,58
2017,Northland,May,10
2017,Waitemata,May,47
2017,Auckland,May,44
2017,Counties Manukau,May,35
2017,Waikato,May,27
2017,Lakes,May,12
2017,Bay of Plenty,May,8
2017,Tairawhiti,May,5
2017,Taranaki,May,10
2017,Hawke's Bay,May,22
2017,Whanganui,May,8
2017,MidCentral,May,23
2017,Hutt Valley,May,10
2017,Capital and Coast,May,30
2017,Wairarapa,May,13
2017,Nelson Marlborough,May,19
2017,West Coast,May,2
2017,Canterbury,May,50
2017,South Canterbury,May,12
2017,Southern,May,43
2017,Northland,June,10
2017,Waitemata,June,45
2017,Auckland,June,40
2017,Counties Manukau,June,23
2017,Waikato,June,27
2017,Lakes,June,9
2017,Bay of Plenty,June,18
2017,Tairawhiti,June,2
2017,Taranaki,June,7
2017,Hawke's Bay,June,20
2017,Whanganui,June,7
2017,MidCentral,June,14
2017,Hutt Valley,June,16
2017,Capital and Coast,June,29
2017,Wairarapa,June,3
2017,Nelson Marlborough,June,9
2017,West Coast,June,1
2017,Canterbury,June,49
2017,South Canterbury,June,5
2017,Southern,June,35
2017,Northland,July,17
2017,Waitemata,July,61
2017,Auckland,July,43
2017,Counties Manukau,July,29
2017,Waikato,July,37
2017,Lakes,July,9
2017,Bay of Plenty,July,15
2017,Tairawhiti,July,6
2017,Taranaki,July,9
2017,Hawke's Bay,July,28
2017,Whanganui,July,4
2017,MidCentral,July,15
2017,Hutt Valley,July,13
2017,Capital and Coast,July,15
2017,Wairarapa,July,7
2017,Nelson Marlborough,July,14
2017,West Coast,July,3
2017,Canterbury,July,64
2017,South Canterbury,July,5
2017,Southern,July,47
2017,Northland,August,35
2017,Waitemata,August,75
2017,Auckland,August,50
2017,Counties Manukau,August,41
2017,Waikato,August,66
2017,Lakes,August,16
2017,Bay of Plenty,August,20
2017,Tairawhiti,August,3
2017,Taranaki,August,28
2017,Hawke's Bay,August,13
2017,Whanganui,August,7
2017,MidCentral,August,19
2017,Hutt Valley,August,3
2017,Capital and Coast,August,26
2017,Wairarapa,August,4
2017,Nelson Marlborough,August,16
2017,West Coast,August,7
2017,Canterbury,August,74
2017,South Canterbury,August,10
2017,Southern,August,56
2017,Northland,September,28
2017,Waitemata,September,77
2017,Auckland,September,35
2017,Counties Manukau,September,31
2017,Waikato,September,76
2017,Lakes,September,14
2017,Bay of Plenty,September,21
2017,Tairawhiti,September,3
2017,Taranaki,September,32
2017,Hawke's Bay,September,18
2017,Whanganui,September,12
2017,MidCentral,September,25
2017,Hutt Valley,September,6
2017,Capital and Coast,September,16
2017,Wairarapa,September,5
2017,Nelson Marlborough,September,18
2017,West Coast,September,10
2017,Canterbury,September,82
2017,South Canterbury,September,15
2017,Southern,September,68
2017,Northland,October,26
2017,Waitemata,October,69
2017,Auckland,October,46
2017,Counties Manukau,October,44
2017,Waikato,October,69
2017,Lakes,October,22
2017,Bay of Plenty,October,25
2017,Tairawhiti,October,8
2017,Taranaki,October,25
2017,Hawke's Bay,October,27
2017,Whanganui,October,9
2017,MidCentral,October,34
2017,Hutt Valley,October,10
2017,Capital and Coast,October,27
2017,Wairarapa,October,9
2017,Nelson Marlborough,October,24
2017,West Coast,October,12
2017,Canterbury,October,102
2017,South Canterbury,October,20
2017,Southern,October,79
2017,Northland,November,33
2017,Waitemata,November,112
2017,Auckland,November,59
2017,Counties Manukau,November,62
2017,Waikato,November,57
2017,Lakes,November,13
2017,Bay of Plenty,November,24
2017,Tairawhiti,November,6
2017,Taranaki,November,23
2017,Hawke's Bay,November,39
2017,Whanganui,November,7
2017,MidCentral,November,32
2017,Hutt Valley,November,18
2017,Capital and Coast,November,38
2017,Wairarapa,November,13
2017,Nelson Marlborough,November,25
2017,West Coast,November,8
2017,Canterbury,November,100
2017,South Canterbury,November,20
2017,Southern,November,106
2017,Northland,December,26
2017,Waitemata,December,80
2017,Auckland,December,54
2017,Counties Manukau,December,49
2017,Waikato,December,43
2017,Lakes,December,10
2017,Bay of Plenty,December,19
2017,Tairawhiti,December,3
2017,Taranaki,December,28
2017,Hawke's Bay,December,28
2017,Whanganui,December,9
2017,MidCentral,December,23
2017,Hutt Valley,December,20
2017,Capital and Coast,December,36
2017,Wairarapa,December,11
2017,Nelson Marlborough,December,18
2017,West Coast,December,6
2017,Canterbury,December,85
2017,South Canterbury,December,15
2017,Southern,December,74
2018,Northland,January,36
2018,Waitemata,January,91
2018,Auckland,January,61
2018,Counties Manukau,January,55
2018,Waikato,January,60
2018,Lakes,January,15
2018,Bay of Plenty,January,30
2018,Tairawhiti,January,14
2018,Taranaki,January,26
2018,Hawke's Bay,January,35
2018,Whanganui,January,13
2018,MidCentral,January,19
2018,Hutt Valley,January,34
2018,Capital and Coast,January,47
2018,Wairarapa,January,2
2018,Nelson Marlborough,January,20
2018,West Coast,January,5
2018,Canterbury,January,78
2018,South Canterbury,January,17
2018,Southern,January,69
2018,Northland,February,10
2018,Waitemata,February,57
2018,Auckland,February,49
2018,Counties Manukau,February,40
2018,Waikato,February,45
2018,Lakes,February,13
2018,Bay of Plenty,February,16
2018,Tairawhiti,February,4
2018,Taranaki,February,19
2018,Hawke's Bay,February,28
2018,Whanganui,February,6
2018,MidCentral,February,19
2018,Hutt Valley,February,12
2018,Capital and Coast,February,32
2018,Wairarapa,February,5
2018,Nelson Marlborough,February,18
2018,West Coast,February,4
2018,Canterbury,February,59
2018,South Canterbury,February,11
2018,Southern,February,65
2018,Northland,March,14
2018,Waitemata,March,51
2018,Auckland,March,60
2018,Counties Manukau,March,43
2018,Waikato,March,32
2018,Lakes,March,10
2018,Bay of Plenty,March,17
2018,Tairawhiti,March,4
2018,Taranaki,March,18
2018,Hawke's Bay,March,19
2018,Whanganui,March,5
2018,MidCentral,March,22
2018,Hutt Valley,March,13
2018,Capital and Coast,March,42
2018,Wairarapa,March,6
2018,Nelson Marlborough,March,11
2018,West Coast,March,4
2018,Canterbury,March,52
2018,South Canterbury,March,13
2018,Southern,March,52
2018,Northland,April,10
2018,Waitemata,April,40
2018,Auckland,April,35
2018,Counties Manukau,April,41
2018,Waikato,April,36
2018,Lakes,April,9
2018,Bay of Plenty,April,15
2018,Tairawhiti,April,4
2018,Taranaki,April,9
2018,Hawke's Bay,April,13
2018,Whanganui,April,2
2018,MidCentral,April,18
2018,Hutt Valley,April,11
2018,Capital and Coast,April,31
2018,Wairarapa,April,4
2018,Nelson Marlborough,April,11
2018,West Coast,April,6
2018,Canterbury,April,45
2018,South Canterbury,April,6
2018,Southern,April,49
2018,Northland,May,12
2018,Waitemata,May,71
2018,Auckland,May,40
2018,Counties Manukau,May,30
2018,Waikato,May,34
2018,Lakes,May,7
2018,Bay of Plenty,May,19
2018,Tairawhiti,May,0
2018,Taranaki,May,11
2018,Hawke's Bay,May,22
2018,Whanganui,May,8
2018,MidCentral,May,20
2018,Hutt Valley,May,11
2018,Capital and Coast,May,38
2018,Wairarapa,May,6
2018,Nelson Marlborough,May,10
2018,West Coast,May,0
2018,Canterbury,May,42
2018,South Canterbury,May,9
2018,Southern,May,53
2018,Northland,June,21
2018,Waitemata,June,54
2018,Auckland,June,21
2018,Counties Manukau,June,38
2018,Waikato,June,36
2018,Lakes,June,11
2018,Bay of Plenty,June,9
2018,Tairawhiti,June,4
2018,Taranaki,June,10
2018,Hawke's Bay,June,30
2018,Whanganui,June,11
2018,MidCentral,June,18
2018,Hutt Valley,June,12
2018,Capital and Coast,June,28
2018,Wairarapa,June,12
2018,Nelson Marlborough,June,22
2018,West Coast,June,4
2018,Canterbury,June,34
2018,South Canterbury,June,10
2018,Southern,June,43
2018,Northland,July,27
2018,Waitemata,July,50
2018,Auckland,July,41
2018,Counties Manukau,July,43
2018,Waikato,July,47
2018,Lakes,July,9
2018,Bay of Plenty,July,14
2018,Tairawhiti,July,5
2018,Taranaki,July,5
2018,Hawke's Bay,July,23
2018,Whanganui,July,6
2018,MidCentral,July,13
2018,Hutt Valley,July,11
2018,Capital and Coast,July,24
2018,Wairarapa,July,6
2018,Nelson Marlborough,July,28
2018,West Coast,July,4
2018,Canterbury,July,49
2018,South Canterbury,July,15
2018,Southern,July,59
2018,Northland,August,20
2018,Waitemata,August,64
2018,Auckland,August,31
2018,Counties Manukau,August,38
2018,Waikato,August,75
2018,Lakes,August,14
2018,Bay of Plenty,August,28
2018,Tairawhiti,August,5
2018,Taranaki,August,22
2018,Hawke's Bay,August,26
2018,Whanganui,August,5
2018,MidCentral,August,20
2018,Hutt Valley,August,14
2018,Capital and Coast,August,42
2018,Wairarapa,August,5
2018,Nelson Marlborough,August,20
2018,West Coast,August,3
2018,Canterbury,August,74
2018,South Canterbury,August,16
2018,Southern,August,48
2018,Northland,September,15
2018,Waitemata,September,57
2018,Auckland,September,52
2018,Counties Manukau,September,39
2018,Waikato,September,63
2018,Lakes,September,14
2018,Bay of Plenty,September,25
2018,Tairawhiti,September,2
2018,Taranaki,September,24
2018,Hawke's Bay,September,27
2018,Whanganui,September,3
2018,MidCentral,September,20
2018,Hutt Valley,September,9
2018,Capital and Coast,September,29
2018,Wairarapa,September,6
2018,Nelson Marlborough,September,31
2018,West Coast,September,7
2018,Canterbury,September,61
2018,South Canterbury,September,10
2018,Southern,September,56
2018,Northland,October,18
2018,Waitemata,October,91
2018,Auckland,October,51
2018,Counties Manukau,October,53
2018,Waikato,October,52
2018,Lakes,October,17
2018,Bay of Plenty,October,24
2018,Tairawhiti,October,5
2018,Taranaki,October,32
2018,Hawke's Bay,October,22
2018,Whanganui,October,5
2018,MidCentral,October,34
2018,Hutt Valley,October,12
2018,Capital and Coast,October,30
2018,Wairarapa,October,8
2018,Nelson Marlborough,October,14
2018,West Coast,October,1
2018,Canterbury,October,77
2018,South Canterbury,October,11
2018,Southern,October,80
2018,Northland,November,35
2018,Waitemata,November,112
2018,Auckland,November,66
2018,Counties Manukau,November,72
2018,Waikato,November,83
2018,Lakes,November,16
2018,Bay of Plenty,November,23
2018,Tairawhiti,November,2
2018,Taranaki,November,19
2018,Hawke's Bay,November,27
2018,Whanganui,November,8
2018,MidCentral,November,48
2018,Hutt Valley,November,35
2018,Capital and Coast,November,33
2018,Wairarapa,November,7
2018,Nelson Marlborough,November,19
2018,West Coast,November,7
2018,Canterbury,November,102
2018,South Canterbury,November,17
2018,Southern,November,81
2018,Northland,December,26
2018,Waitemata,December,165
2018,Auckland,December,79
2018,Counties Manukau,December,85
2018,Waikato,December,113
2018,Lakes,December,19
2018,Bay of Plenty,December,22
2018,Tairawhiti,December,5
2018,Taranaki,December,27
2018,Hawke's Bay,December,22
2018,Whanganui,December,9
2018,MidCentral,December,46
2018,Hutt Valley,December,22
2018,Capital and Coast,December,56
2018,Wairarapa,December,12
2018,Nelson Marlborough,December,35
2018,West Coast,December,5
2018,Canterbury,December,88
2018,South Canterbury,December,17
2018,Southern,December,65
2019,Northland,January,42
2019,Waitemata,January,133
2019,Auckland,January,74
2019,Counties Manukau,January,96
2019,Waikato,January,88
2019,Lakes,January,15
2019,Bay of Plenty,January,42
2019,Tairawhiti,January,6
2019,Taranaki,January,33
2019,Hawke's Bay,January,49
2019,Whanganui,January,9
2019,MidCentral,January,39
2019,Hutt Valley,January,14
2019,Capital and Coast,January,45
2019,Wairarapa,January,15
2019,Nelson Marlborough,January,31
2019,West Coast,January,7
2019,Canterbury,January,124
2019,South Canterbury,January,26
2019,Southern,January,63
2019,Northland,February,14
2019,Waitemata,February,51
2019,Auckland,February,50
2019,Counties Manukau,February,32
2019,Waikato,February,46
2019,Lakes,February,10
2019,Bay of Plenty,February,26
2019,Tairawhiti,February,3
2019,Taranaki,February,13
2019,Hawke's Bay,February,15
2019,Whanganui,February,7
2019,MidCentral,February,19
2019,Hutt Valley,February,14
2019,Capital and Coast,February,25
2019,Wairarapa,February,7
2019,Nelson Marlborough,February,16
2019,West Coast,February,1
2019,Canterbury,February,66
2019,South Canterbury,February,21
2019,Southern,February,53
2019,Northland,March,18
2019,Waitemata,March,44
2019,Auckland,March,41
2019,Counties Manukau,March,39
2019,Waikato,March,39
2019,Lakes,March,15
2019,Bay of Plenty,March,18
2019,Tairawhiti,March,1
2019,Taranaki,March,15
2019,Hawke's Bay,March,22
2019,Whanganui,March,3
2019,MidCentral,March,15
2019,Hutt Valley,March,11
2019,Capital and Coast,March,17
2019,Wairarapa,March,4
2019,Nelson Marlborough,March,11
2019,West Coast,March,2
2019,Canterbury,March,30
2019,South Canterbury,March,11
2019,Southern,March,30
2019,Northland,April,11
2019,Waitemata,April,33
2019,Auckland,April,28
2019,Counties Manukau,April,21
2019,Waikato,April,34
2019,Lakes,April,8
2019,Bay of Plenty,April,17
2019,Tairawhiti,April,2
2019,Taranaki,April,15
2019,Hawke's Bay,April,7
2019,Whanganui,April,4
2019,MidCentral,April,5
2019,Hutt Valley,April,8
2019,Capital and Coast,April,12
2019,Wairarapa,April,5
2019,Nelson Marlborough,April,12
2019,West Coast,April,3
2019,Canterbury,April,49
2019,South Canterbury,April,6
2019,Southern,April,26
2019,Northland,May,11
2019,Waitemata,May,45
2019,Auckland,May,22
2019,Counties Manukau,May,29
2019,Waikato,May,36
2019,Lakes,May,9
2019,Bay of Plenty,May,11
2019,Tairawhiti,May,7
2019,Taranaki,May,9
2019,Hawke's Bay,May,18
2019,Whanganui,May,4
2019,MidCentral,May,8
2019,Hutt Valley,May,14
2019,Capital and Coast,May,21
2019,Wairarapa,May,3
2019,Nelson Marlborough,May,5
2019,West Coast,May,3
2019,Canterbury,May,39
2019,South Canterbury,May,8
2019,Southern,May,34
2019,Northland,June,19
2019,Waitemata,June,48
2019,Auckland,June,22
2019,Counties Manukau,June,24
2019,Waikato,June,28
2019,Lakes,June,9
2019,Bay of Plenty,June,18
2019,Tairawhiti,June,3
2019,Taranaki,June,3
2019,Hawke's Bay,June,8
2019,Whanganui,June,2
2019,MidCentral,June,14
2019,Hutt Valley,June,9
2019,Capital and Coast,June,12
2019,Wairarapa,June,9
2019,Nelson Marlborough,June,16
2019,West Coast,June,5
2019,Canterbury,June,37
2019,South Canterbury,June,6
2019,Southern,June,27
2019,Northland,July,16
2019,Waitemata,July,66
2019,Auckland,July,35
2019,Counties Manukau,July,25
2019,Waikato,July,32
2019,Lakes,July,14
2019,Bay of Plenty,July,29
2019,Tairawhiti,July,0
2019,Taranaki,July,15
2019,Hawke's Bay,July,18
2019,Whanganui,July,8
2019,MidCentral,July,16
2019,Hutt Valley,July,11
2019,Capital and Coast,July,22
2019,Wairarapa,July,6
2019,Nelson Marlborough,July,18
2019,West Coast,July,1
2019,Canterbury,July,46
2019,South Canterbury,July,5
2019,Southern,July,32
2019,Northland,August,27
2019,Waitemata,August,63
2019,Auckland,August,37
2019,Counties Manukau,August,36
2019,Waikato,August,78
2019,Lakes,August,14
2019,Bay of Plenty,August,23
2019,Tairawhiti,August,4
2019,Taranaki,August,23
2019,Hawke's Bay,August,16
2019,Whanganui,August,9
2019,MidCentral,August,23
2019,Hutt Valley,August,9
2019,Capital and Coast,August,37
2019,Wairarapa,August,14
2019,Nelson Marlborough,August,9
2019,West Coast,August,6
2019,Canterbury,August,56
