DHB,Month,Year,Time,Population
Wairarapa,July,2009,2009.5833333333333,40929.24242695275
Wairarapa,August,2009,2009.6666666666667,40981.9806352381
Wairarapa,September,2009,2009.75,41035.60530688635
Wairarapa,October,2009,2009.8333333333333,41089.93663169668
Wairarapa,November,2009,2009.9166666666667,41144.79479946831
Wairarapa,December,2009,2010,41200
Wairarapa,January,2010,2010.0833333333333,41255.35848787768
Wairarapa,February,2010,2010.1666666666667,41310.620776834214
Wairarapa,March,2010,2010.25,41365.52344538871
Wairarapa,April,2010,2010.3333333333333,41419.80307206074
Wairarapa,May,2010,2010.4166666666667,41473.19623536989
Wairarapa,June,2010,2010.5,41525.43951383529
Wairarapa,July,2010,2010.5833333333333,41576.26948597651
Wairarapa,August,2010,2010.6666666666667,41625.422730313105
Wairarapa,September,2010,2010.75,41672.63582536423
Wairarapa,October,2010,2010.8333333333333,41717.64534964945
Wairarapa,November,2010,2010.9166666666667,41760.18788168831
Wairarapa,December,2010,2011,41800
Wairarapa,January,2011,2011.0833333333333,41836.89415826025
Wairarapa,February,2011,2011.1666666666667,41870.98631076954
Wairarapa,March,2011,2011.25,41902.46828698425
Wairarapa,April,2011,2011.3333333333333,41931.53191636106
Wairarapa,May,2011,2011.4166666666667,41958.36902835661
Wairarapa,June,2011,2011.5,41983.17145242733
Wairarapa,July,2011,2011.5833333333333,42006.13101802986
Wairarapa,August,2011,2011.6666666666667,42027.43955462085
Wairarapa,September,2011,2011.75,42047.28889165674
Wairarapa,October,2011,2011.8333333333333,42065.87085859417
Wairarapa,November,2011,2011.9166666666667,42083.377284889764
Wairarapa,December,2011,2012,42100
Wairarapa,January,2012,2012.0833333333333,42115.98849019223
Wairarapa,February,2012,2012.1666666666667,42131.822868976706
Wairarapa,March,2012,2012.25,42148.04090667429
Wairarapa,April,2012,2012.3333333333333,42165.18037360596
Wairarapa,May,2012,2012.4166666666667,42183.77904009272
Wairarapa,June,2012,2012.5,42204.37467645541
Wairarapa,July,2012,2012.5833333333333,42227.50505301501
Wairarapa,August,2012,2012.6666666666667,42253.70794009255
Wairarapa,September,2012,2012.75,42283.52110800883
Wairarapa,October,2012,2012.8333333333333,42317.48232708484
Wairarapa,November,2012,2012.9166666666667,42356.12936764165
Wairarapa,December,2012,2013,42400
Wairarapa,January,2013,2013.0833333333333,42449.44123282255
Wairarapa,February,2013,2013.1666666666667,42504.03702813859
Wairarapa,March,2013,2013.25,42563.180586318595
Wairarapa,April,2013,2013.3333333333333,42626.26510773346
Wairarapa,May,2013,2013.4166666666667,42692.68379275414
Wairarapa,June,2013,2013.5,42761.82984175104
Wairarapa,July,2013,2013.5833333333333,42833.0964550951
Wairarapa,August,2013,2013.6666666666667,42905.87683315729
Wairarapa,September,2013,2013.75,42979.56417630797
Wairarapa,October,2013,2013.8333333333333,43053.5516849181
Wairarapa,November,2013,2013.9166666666667,43127.23255935866
Wairarapa,December,2013,2014,43200
Wairarapa,January,2014,2014.0833333333333,43271.373893332115
Wairarapa,February,2014,2014.1666666666667,43341.38087032105
Wairarapa,March,2014,2014.25,43410.174248051335
Wairarapa,April,2014,2014.3333333333333,43477.907343608036
Wairarapa,May,2014,2014.4166666666667,43544.73347407622
Wairarapa,June,2014,2014.5,43610.80595654043
Wairarapa,July,2014,2014.5833333333333,43676.278108085724
Wairarapa,August,2014,2014.6666666666667,43741.30324579717
Wairarapa,September,2014,2014.75,43806.03468675931
Wairarapa,October,2014,2014.8333333333333,43870.62574805721
Wairarapa,November,2014,2014.9166666666667,43935.22974677592
Wairarapa,December,2014,2015,44000
Wairarapa,January,2015,2015.0833333333333,44065.06319384863
