Area,Age,Sex,Year at 30 June,Value,Flags
"Bay of Plenty","15-39 Years","Male","2003",28100,
"Bay of Plenty","15-39 Years","Male","2004",28400,
"Bay of Plenty","15-39 Years","Male","2005",28600,
"Bay of Plenty","15-39 Years","Male","2006",28900,
"Bay of Plenty","15-39 Years","Male","2007",29000,
"Bay of Plenty","15-39 Years","Male","2008",29100,
"Bay of Plenty","15-39 Years","Male","2009",29100,
"Bay of Plenty","15-39 Years","Male","2010",29100,
"Bay of Plenty","15-39 Years","Male","2011",29000,
"Bay of Plenty","15-39 Years","Male","2012",28700,
"Bay of Plenty","15-39 Years","Male","2013",28600,
"Bay of Plenty","15-39 Years","Male","2014",30100,
"Bay of Plenty","15-39 Years","Male","2015",31700,
"Bay of Plenty","15-39 Years","Male","2016",33400,
"Bay of Plenty","15-39 Years","Male","2017",35100,
"Bay of Plenty","15-39 Years","Male","2018",36400,
"Bay of Plenty","15-39 Years","Male","2019",37700,
"Bay of Plenty","15-39 Years","Male","2020",39100,
"Bay of Plenty","15-39 Years","Female","1996",28500,
"Bay of Plenty","15-39 Years","Female","1997",29000,
"Bay of Plenty","15-39 Years","Female","1998",29300,
"Bay of Plenty","15-39 Years","Female","1999",29300,
"Bay of Plenty","15-39 Years","Female","2000",29300,
"Bay of Plenty","15-39 Years","Female","2001",29000,
"Bay of Plenty","15-39 Years","Female","2002",29300,
"Bay of Plenty","15-39 Years","Female","2003",29700,
"Bay of Plenty","15-39 Years","Female","2004",30100,
"Bay of Plenty","15-39 Years","Female","2005",30300,
"Bay of Plenty","15-39 Years","Female","2006",30500,
"Bay of Plenty","15-39 Years","Female","2007",30800,
"Bay of Plenty","15-39 Years","Female","2008",30800,
"Bay of Plenty","15-39 Years","Female","2009",30900,
"Bay of Plenty","15-39 Years","Female","2010",30900,
"Bay of Plenty","15-39 Years","Female","2011",30700,
"Bay of Plenty","15-39 Years","Female","2012",30300,
"Bay of Plenty","15-39 Years","Female","2013",30100,
"Bay of Plenty","15-39 Years","Female","2014",30900,
"Bay of Plenty","15-39 Years","Female","2015",31700,
"Bay of Plenty","15-39 Years","Female","2016",33000,
"Bay of Plenty","15-39 Years","Female","2017",34400,
"Bay of Plenty","15-39 Years","Female","2018",35700,
"Bay of Plenty","15-39 Years","Female","2019",36600,
"Bay of Plenty","15-39 Years","Female","2020",37900,
"Bay of Plenty","15-39 Years","Total people, sex","1996",56300,
"Bay of Plenty","15-39 Years","Total people, sex","1997",57000,
"Bay of Plenty","15-39 Years","Total people, sex","1998",57300,
"Bay of Plenty","15-39 Years","Total people, sex","1999",57100,
"Bay of Plenty","15-39 Years","Total people, sex","2000",56900,
"Bay of Plenty","15-39 Years","Total people, sex","2001",56300,
"Bay of Plenty","15-39 Years","Total people, sex","2002",56900,
"Bay of Plenty","15-39 Years","Total people, sex","2003",57800,
"Bay of Plenty","15-39 Years","Total people, sex","2004",58400,
"Bay of Plenty","15-39 Years","Total people, sex","2005",58900,
"Bay of Plenty","15-39 Years","Total people, sex","2006",59400,
"Bay of Plenty","15-39 Years","Total people, sex","2007",59800,
"Bay of Plenty","15-39 Years","Total people, sex","2008",59900,
"Bay of Plenty","15-39 Years","Total people, sex","2009",60100,
"Bay of Plenty","15-39 Years","Total people, sex","2010",60100,
"Bay of Plenty","15-39 Years","Total people, sex","2011",59700,
"Bay of Plenty","15-39 Years","Total people, sex","2012",59000,
"Bay of Plenty","15-39 Years","Total people, sex","2013",58700,
"Bay of Plenty","15-39 Years","Total people, sex","2014",60900,
"Bay of Plenty","15-39 Years","Total people, sex","2015",63400,
"Bay of Plenty","15-39 Years","Total people, sex","2016",66400,
"Bay of Plenty","15-39 Years","Total people, sex","2017",69500,
"Bay of Plenty","15-39 Years","Total people, sex","2018",72100,
"Bay of Plenty","15-39 Years","Total people, sex","2019",74200,
"Bay of Plenty","15-39 Years","Total people, sex","2020",77100,
"Tairawhiti","15-39 Years","Male","1996",8200,
"Tairawhiti","15-39 Years","Male","1997",8000,
"Tairawhiti","15-39 Years","Male","1998",7800,
"Tairawhiti","15-39 Years","Male","1999",7600,
"Tairawhiti","15-39 Years","Male","2000",7300,
"Tairawhiti","15-39 Years","Male","2001",7100,
"Tairawhiti","15-39 Years","Male","2002",7100,
"Tairawhiti","15-39 Years","Male","2003",7100,
"Tairawhiti","15-39 Years","Male","2004",7000,
"Tairawhiti","15-39 Years","Male","2005",7000,
"Tairawhiti","15-39 Years","Male","2006",7000,
"Tairawhiti","15-39 Years","Male","2007",7000,
"Tairawhiti","15-39 Years","Male","2008",6900,
"Tairawhiti","15-39 Years","Male","2009",6900,
"Tairawhiti","15-39 Years","Male","2010",6900,
"Tairawhiti","15-39 Years","Male","2011",6900,
"Tairawhiti","15-39 Years","Male","2012",6800,
"Tairawhiti","15-39 Years","Male","2013",6800,
"Tairawhiti","15-39 Years","Male","2014",6900,
"Tairawhiti","15-39 Years","Male","2015",7100,
"Tairawhiti","15-39 Years","Male","2016",7300,
"Tairawhiti","15-39 Years","Male","2017",7400,
"Tairawhiti","15-39 Years","Male","2018",7500,
"Tairawhiti","15-39 Years","Male","2019",7700,
"Tairawhiti","15-39 Years","Male","2020",7800,
"Tairawhiti","15-39 Years","Female","1996",8500,
"Tairawhiti","15-39 Years","Female","1997",8400,
"Tairawhiti","15-39 Years","Female","1998",8300,
"Tairawhiti","15-39 Years","Female","1999",8100,
"Tairawhiti","15-39 Years","Female","2000",7900,
"Tairawhiti","15-39 Years","Female","2001",7700,
"Tairawhiti","15-39 Years","Female","2002",7600,
"Tairawhiti","15-39 Years","Female","2003",7600,
"Tairawhiti","15-39 Years","Female","2004",7600,
"Tairawhiti","15-39 Years","Female","2005",7500,
"Tairawhiti","15-39 Years","Female","2006",7500,
"Tairawhiti","15-39 Years","Female","2007",7500,
"Tairawhiti","15-39 Years","Female","2008",7500,
"Tairawhiti","15-39 Years","Female","2009",7400,
"Tairawhiti","15-39 Years","Female","2010",7400,
"Tairawhiti","15-39 Years","Female","2011",7400,
"Tairawhiti","15-39 Years","Female","2012",7300,
"Tairawhiti","15-39 Years","Female","2013",7300,
"Tairawhiti","15-39 Years","Female","2014",7300,
"Tairawhiti","15-39 Years","Female","2015",7300,
"Tairawhiti","15-39 Years","Female","2016",7400,
"Tairawhiti","15-39 Years","Female","2017",7500,
"Tairawhiti","15-39 Years","Female","2018",7500,
"Tairawhiti","15-39 Years","Female","2019",7500,
"Tairawhiti","15-39 Years","Female","2020",7600,
"Tairawhiti","15-39 Years","Total people, sex","1996",16700,
"Tairawhiti","15-39 Years","Total people, sex","1997",16400,
"Tairawhiti","15-39 Years","Total people, sex","1998",16000,
"Tairawhiti","15-39 Years","Total people, sex","1999",15700,
"Tairawhiti","15-39 Years","Total people, sex","2000",15300,
"Tairawhiti","15-39 Years","Total people, sex","2001",14800,
"Tairawhiti","15-39 Years","Total people, sex","2002",14700,
"Tairawhiti","15-39 Years","Total people, sex","2003",14700,
"Tairawhiti","15-39 Years","Total people, sex","2004",14600,
"Tairawhiti","15-39 Years","Total people, sex","2005",14500,
"Tairawhiti","15-39 Years","Total people, sex","2006",14400,
"Tairawhiti","15-39 Years","Total people, sex","2007",14400,
"Tairawhiti","15-39 Years","Total people, sex","2008",14400,
"Tairawhiti","15-39 Years","Total people, sex","2009",14300,
"Tairawhiti","15-39 Years","Total people, sex","2010",14400,
"Tairawhiti","15-39 Years","Total people, sex","2011",14300,
"Tairawhiti","15-39 Years","Total people, sex","2012",14100,
"Tairawhiti","15-39 Years","Total people, sex","2013",14000,
"Tairawhiti","15-39 Years","Total people, sex","2014",14200,
"Tairawhiti","15-39 Years","Total people, sex","2015",14400,
"Tairawhiti","15-39 Years","Total people, sex","2016",14700,
"Tairawhiti","15-39 Years","Total people, sex","2017",14900,
"Tairawhiti","15-39 Years","Total people, sex","2018",15000,
"Tairawhiti","15-39 Years","Total people, sex","2019",15200,
"Tairawhiti","15-39 Years","Total people, sex","2020",15500,
"Taranaki","15-39 Years","Male","1996",19500,
"Taranaki","15-39 Years","Male","1997",19100,
"Taranaki","15-39 Years","Male","1998",18600,
"Taranaki","15-39 Years","Male","1999",18000,
"Taranaki","15-39 Years","Male","2000",17500,
"Taranaki","15-39 Years","Male","2001",17000,
"Taranaki","15-39 Years","Male","2002",17000,
"Taranaki","15-39 Years","Male","2003",17000,
"Taranaki","15-39 Years","Male","2004",16900,
"Taranaki","15-39 Years","Male","2005",16700,
"Taranaki","15-39 Years","Male","2006",16700,
"Taranaki","15-39 Years","Male","2007",16700,
"Taranaki","15-39 Years","Male","2008",16700,
"Taranaki","15-39 Years","Male","2009",16800,
"Taranaki","15-39 Years","Male","2010",16800,
"Taranaki","15-39 Years","Male","2011",16700,
"Taranaki","15-39 Years","Male","2012",16600,
"Taranaki","15-39 Years","Male","2013",16600,
"Taranaki","15-39 Years","Male","2014",17000,
"Taranaki","15-39 Years","Male","2015",17400,
"Taranaki","15-39 Years","Male","2016",17800,
"Taranaki","15-39 Years","Male","2017",18100,
"Taranaki","15-39 Years","Male","2018",18300,
"Taranaki","15-39 Years","Male","2019",18500,
"Taranaki","15-39 Years","Male","2020",18900,
"Taranaki","15-39 Years","Female","1996",19500,
"Taranaki","15-39 Years","Female","1997",19000,
"Taranaki","15-39 Years","Female","1998",18600,
"Taranaki","15-39 Years","Female","1999",18000,
"Taranaki","15-39 Years","Female","2000",17500,
"Taranaki","15-39 Years","Female","2001",17000,
"Taranaki","15-39 Years","Female","2002",17000,
"Taranaki","15-39 Years","Female","2003",17000,
"Taranaki","15-39 Years","Female","2004",17000,
"Taranaki","15-39 Years","Female","2005",16900,
"Taranaki","15-39 Years","Female","2006",17000,
"Taranaki","15-39 Years","Female","2007",17000,
"Taranaki","15-39 Years","Female","2008",17000,
"Taranaki","15-39 Years","Female","2009",17000,
"Taranaki","15-39 Years","Female","2010",17000,
"Taranaki","15-39 Years","Female","2011",17000,
"Taranaki","15-39 Years","Female","2012",16900,
"Taranaki","15-39 Years","Female","2013",16800,
"Taranaki","15-39 Years","Female","2014",16800,
"Taranaki","15-39 Years","Female","2015",17000,
"Taranaki","15-39 Years","Female","2016",17300,
"Taranaki","15-39 Years","Female","2017",17500,
"Taranaki","15-39 Years","Female","2018",17600,
"Taranaki","15-39 Years","Female","2019",17600,
"Taranaki","15-39 Years","Female","2020",17800,
"Taranaki","15-39 Years","Total people, sex","1996",38900,
"Taranaki","15-39 Years","Total people, sex","1997",38100,
"Taranaki","15-39 Years","Total people, sex","1998",37200,
"Taranaki","15-39 Years","Total people, sex","1999",36000,
"Taranaki","15-39 Years","Total people, sex","2000",35000,
"Taranaki","15-39 Years","Total people, sex","2001",34000,
"Taranaki","15-39 Years","Total people, sex","2002",33900,
"Taranaki","15-39 Years","Total people, sex","2003",34100,
"Taranaki","15-39 Years","Total people, sex","2004",33900,
"Taranaki","15-39 Years","Total people, sex","2005",33700,
"Taranaki","15-39 Years","Total people, sex","2006",33700,
"Taranaki","15-39 Years","Total people, sex","2007",33700,
"Taranaki","15-39 Years","Total people, sex","2008",33700,
"Taranaki","15-39 Years","Total people, sex","2009",33800,
"Taranaki","15-39 Years","Total people, sex","2010",33900,
"Taranaki","15-39 Years","Total people, sex","2011",33700,
"Taranaki","15-39 Years","Total people, sex","2012",33500,
"Taranaki","15-39 Years","Total people, sex","2013",33400,
"Taranaki","15-39 Years","Total people, sex","2014",33800,
"Taranaki","15-39 Years","Total people, sex","2015",34400,
"Taranaki","15-39 Years","Total people, sex","2016",35200,
"Taranaki","15-39 Years","Total people, sex","2017",35600,
"Taranaki","15-39 Years","Total people, sex","2018",35900,
"Taranaki","15-39 Years","Total people, sex","2019",36100,
"Taranaki","15-39 Years","Total people, sex","2020",36700,
"Hawke's Bay","15-39 Years","Male","1996",25400,
"Hawke's Bay","15-39 Years","Male","1997",25200,
"Hawke's Bay","15-39 Years","Male","1998",24800,
"Hawke's Bay","15-39 Years","Male","1999",24200,
"Hawke's Bay","15-39 Years","Male","2000",23600,
"Hawke's Bay","15-39 Years","Male","2001",23200,
"Hawke's Bay","15-39 Years","Male","2002",23200,
"Hawke's Bay","15-39 Years","Male","2003",23200,
"Hawke's Bay","15-39 Years","Male","2004",23000,
"Hawke's Bay","15-39 Years","Male","2005",22800,
"Hawke's Bay","15-39 Years","Male","2006",22700,
"Hawke's Bay","15-39 Years","Male","2007",22600,
"Hawke's Bay","15-39 Years","Male","2008",22300,
"Hawke's Bay","15-39 Years","Male","2009",22100,
"Hawke's Bay","15-39 Years","Male","2010",22100,
"Hawke's Bay","15-39 Years","Male","2011",21900,
"Hawke's Bay","15-39 Years","Male","2012",21600,
"Hawke's Bay","15-39 Years","Male","2013",21400,
"Hawke's Bay","15-39 Years","Male","2014",22100,
"Hawke's Bay","15-39 Years","Male","2015",23100,
"Hawke's Bay","15-39 Years","Male","2016",24000,
"Hawke's Bay","15-39 Years","Male","2017",24700,
"Hawke's Bay","15-39 Years","Male","2018",25300,
"Hawke's Bay","15-39 Years","Male","2019",26000,
"Hawke's Bay","15-39 Years","Male","2020",26800,
"Hawke's Bay","15-39 Years","Female","1996",26000,
"Hawke's Bay","15-39 Years","Female","1997",25800,
"Hawke's Bay","15-39 Years","Female","1998",25400,
"Hawke's Bay","15-39 Years","Female","1999",24900,
"Hawke's Bay","15-39 Years","Female","2000",24400,
"Hawke's Bay","15-39 Years","Female","2001",23900,
"Hawke's Bay","15-39 Years","Female","2002",23900,
"Hawke's Bay","15-39 Years","Female","2003",23900,
"Hawke's Bay","15-39 Years","Female","2004",23800,
"Hawke's Bay","15-39 Years","Female","2005",23800,
"Hawke's Bay","15-39 Years","Female","2006",23900,
"Hawke's Bay","15-39 Years","Female","2007",23900,
"Hawke's Bay","15-39 Years","Female","2008",23600,
"Hawke's Bay","15-39 Years","Female","2009",23500,
"Hawke's Bay","15-39 Years","Female","2010",23400,
"Hawke's Bay","15-39 Years","Female","2011",23200,
"Hawke's Bay","15-39 Years","Female","2012",22800,
"Hawke's Bay","15-39 Years","Female","2013",22500,
"Hawke's Bay","15-39 Years","Female","2014",22800,
"Hawke's Bay","15-39 Years","Female","2015",23200,
"Hawke's Bay","15-39 Years","Female","2016",23800,
"Hawke's Bay","15-39 Years","Female","2017",24300,
"Hawke's Bay","15-39 Years","Female","2018",24800,
"Hawke's Bay","15-39 Years","Female","2019",25200,
"Hawke's Bay","15-39 Years","Female","2020",25900,
"Hawke's Bay","15-39 Years","Total people, sex","1996",51400,
"Hawke's Bay","15-39 Years","Total people, sex","1997",51000,
"Hawke's Bay","15-39 Years","Total people, sex","1998",50200,
"Hawke's Bay","15-39 Years","Total people, sex","1999",49100,
"Hawke's Bay","15-39 Years","Total people, sex","2000",48000,
"Hawke's Bay","15-39 Years","Total people, sex","2001",47100,
"Hawke's Bay","15-39 Years","Total people, sex","2002",47100,
"Hawke's Bay","15-39 Years","Total people, sex","2003",47100,
"Hawke's Bay","15-39 Years","Total people, sex","2004",46900,
"Hawke's Bay","15-39 Years","Total people, sex","2005",46600,
"Hawke's Bay","15-39 Years","Total people, sex","2006",46600,
"Hawke's Bay","15-39 Years","Total people, sex","2007",46400,
"Hawke's Bay","15-39 Years","Total people, sex","2008",46000,
"Hawke's Bay","15-39 Years","Total people, sex","2009",45600,
"Hawke's Bay","15-39 Years","Total people, sex","2010",45500,
"Hawke's Bay","15-39 Years","Total people, sex","2011",45100,
"Hawke's Bay","15-39 Years","Total people, sex","2012",44400,
"Hawke's Bay","15-39 Years","Total people, sex","2013",44000,
"Hawke's Bay","15-39 Years","Total people, sex","2014",44900,
"Hawke's Bay","15-39 Years","Total people, sex","2015",46300,
"Hawke's Bay","15-39 Years","Total people, sex","2016",47800,
"Hawke's Bay","15-39 Years","Total people, sex","2017",49000,
"Hawke's Bay","15-39 Years","Total people, sex","2018",50100,
"Hawke's Bay","15-39 Years","Total people, sex","2019",51200,
"Hawke's Bay","15-39 Years","Total people, sex","2020",52700,
"Whanganui","15-39 Years","Male","1996",12500,
"Whanganui","15-39 Years","Male","1997",12200,
"Whanganui","15-39 Years","Male","1998",11800,
"Whanganui","15-39 Years","Male","1999",11300,
"Whanganui","15-39 Years","Male","2000",10900,
"Whanganui","15-39 Years","Male","2001",10500,
"Whanganui","15-39 Years","Male","2002",10400,
"Whanganui","15-39 Years","Male","2003",10200,
"Whanganui","15-39 Years","Male","2004",10000,
"Whanganui","15-39 Years","Male","2005",9800,
"Whanganui","15-39 Years","Male","2006",9600,
"Whanganui","15-39 Years","Male","2007",9400,
"Whanganui","15-39 Years","Male","2008",9300,
"Whanganui","15-39 Years","Male","2009",9100,
"Whanganui","15-39 Years","Male","2010",9000,
"Whanganui","15-39 Years","Male","2011",8900,
"Whanganui","15-39 Years","Male","2012",8700,
"Whanganui","15-39 Years","Male","2013",8600,
"Whanganui","15-39 Years","Male","2014",8800,
"Whanganui","15-39 Years","Male","2015",9100,
"Whanganui","15-39 Years","Male","2016",9400,
"Whanganui","15-39 Years","Male","2017",9500,
"Whanganui","15-39 Years","Male","2018",9700,
"Whanganui","15-39 Years","Male","2019",9800,
"Whanganui","15-39 Years","Male","2020",9900,
"Whanganui","15-39 Years","Female","1996",12400,
"Whanganui","15-39 Years","Female","1997",12200,
"Whanganui","15-39 Years","Female","1998",11700,
"Whanganui","15-39 Years","Female","1999",11300,
"Whanganui","15-39 Years","Female","2000",10900,
"Whanganui","15-39 Years","Female","2001",10500,
"Whanganui","15-39 Years","Female","2002",10300,
"Whanganui","15-39 Years","Female","2003",10100,
"Whanganui","15-39 Years","Female","2004",10000,
"Whanganui","15-39 Years","Female","2005",9700,
"Whanganui","15-39 Years","Female","2006",9600,
"Whanganui","15-39 Years","Female","2007",9400,
"Whanganui","15-39 Years","Female","2008",9400,
"Whanganui","15-39 Years","Female","2009",9300,
"Whanganui","15-39 Years","Female","2010",9100,
"Whanganui","15-39 Years","Female","2011",9000,
"Whanganui","15-39 Years","Female","2012",8700,
"Whanganui","15-39 Years","Female","2013",8700,
"Whanganui","15-39 Years","Female","2014",8700,
"Whanganui","15-39 Years","Female","2015",8800,
"Whanganui","15-39 Years","Female","2016",8900,
"Whanganui","15-39 Years","Female","2017",9100,
"Whanganui","15-39 Years","Female","2018",9200,
"Whanganui","15-39 Years","Female","2019",9400,
"Whanganui","15-39 Years","Female","2020",9700,
"Whanganui","15-39 Years","Total people, sex","1996",24900,
"Whanganui","15-39 Years","Total people, sex","1997",24300,
"Whanganui","15-39 Years","Total people, sex","1998",23500,
"Whanganui","15-39 Years","Total people, sex","1999",22700,
"Whanganui","15-39 Years","Total people, sex","2000",21800,
"Whanganui","15-39 Years","Total people, sex","2001",21000,
"Whanganui","15-39 Years","Total people, sex","2002",20600,
"Whanganui","15-39 Years","Total people, sex","2003",20300,
"Whanganui","15-39 Years","Total people, sex","2004",20000,
"Whanganui","15-39 Years","Total people, sex","2005",19500,
"Whanganui","15-39 Years","Total people, sex","2006",19200,
"Whanganui","15-39 Years","Total people, sex","2007",18900,
"Whanganui","15-39 Years","Total people, sex","2008",18700,
"Whanganui","15-39 Years","Total people, sex","2009",18400,
"Whanganui","15-39 Years","Total people, sex","2010",18100,
"Whanganui","15-39 Years","Total people, sex","2011",17800,
"Whanganui","15-39 Years","Total people, sex","2012",17400,
"Whanganui","15-39 Years","Total people, sex","2013",17300,
"Whanganui","15-39 Years","Total people, sex","2014",17400,
"Whanganui","15-39 Years","Total people, sex","2015",17800,
"Whanganui","15-39 Years","Total people, sex","2016",18300,
"Whanganui","15-39 Years","Total people, sex","2017",18600,
"Whanganui","15-39 Years","Total people, sex","2018",19000,
"Whanganui","15-39 Years","Total people, sex","2019",19200,
"Whanganui","15-39 Years","Total people, sex","2020",19600,
"MidCentral","15-39 Years","Male","1996",31600,
"MidCentral","15-39 Years","Male","1997",31100,
"MidCentral","15-39 Years","Male","1998",30400,
"MidCentral","15-39 Years","Male","1999",29600,
"MidCentral","15-39 Years","Male","2000",28800,
"MidCentral","15-39 Years","Male","2001",28000,
"MidCentral","15-39 Years","Male","2002",28000,
"MidCentral","15-39 Years","Male","2003",28000,
"MidCentral","15-39 Years","Male","2004",27700,
"MidCentral","15-39 Years","Male","2005",27500,
"MidCentral","15-39 Years","Male","2006",27300,
"MidCentral","15-39 Years","Male","2007",27000,
"MidCentral","15-39 Years","Male","2008",26800,
"MidCentral","15-39 Years","Male","2009",26600,
"MidCentral","15-39 Years","Male","2010",26600,
"MidCentral","15-39 Years","Male","2011",26400,
"MidCentral","15-39 Years","Male","2012",26200,
"MidCentral","15-39 Years","Male","2013",26000,
"MidCentral","15-39 Years","Male","2014",26700,
"MidCentral","15-39 Years","Male","2015",27500,
"MidCentral","15-39 Years","Male","2016",28300,
"MidCentral","15-39 Years","Male","2017",28900,
"MidCentral","15-39 Years","Male","2018",29500,
"MidCentral","15-39 Years","Male","2019",29800,
"MidCentral","15-39 Years","Male","2020",30300,
"MidCentral","15-39 Years","Female","1996",31800,
"MidCentral","15-39 Years","Female","1997",31300,
"MidCentral","15-39 Years","Female","1998",30700,
"MidCentral","15-39 Years","Female","1999",30100,
"MidCentral","15-39 Years","Female","2000",29500,
"MidCentral","15-39 Years","Female","2001",28900,
"MidCentral","15-39 Years","Female","2002",28700,
"MidCentral","15-39 Years","Female","2003",28700,
"MidCentral","15-39 Years","Female","2004",28800,
"MidCentral","15-39 Years","Female","2005",28600,
"MidCentral","15-39 Years","Female","2006",28500,
"MidCentral","15-39 Years","Female","2007",28200,
"MidCentral","15-39 Years","Female","2008",28000,
"MidCentral","15-39 Years","Female","2009",27900,
"MidCentral","15-39 Years","Female","2010",27900,
"MidCentral","15-39 Years","Female","2011",27700,
"MidCentral","15-39 Years","Female","2012",27600,
"MidCentral","15-39 Years","Female","2013",27500,
"MidCentral","15-39 Years","Female","2014",27600,
"MidCentral","15-39 Years","Female","2015",27900,
"MidCentral","15-39 Years","Female","2016",28500,
"MidCentral","15-39 Years","Female","2017",28900,
"MidCentral","15-39 Years","Female","2018",29100,
"MidCentral","15-39 Years","Female","2019",29500,
"MidCentral","15-39 Years","Female","2020",30100,
"MidCentral","15-39 Years","Total people, sex","1996",63400,
"MidCentral","15-39 Years","Total people, sex","1997",62400,
"MidCentral","15-39 Years","Total people, sex","1998",61100,
"MidCentral","15-39 Years","Total people, sex","1999",59800,
"MidCentral","15-39 Years","Total people, sex","2000",58400,
"MidCentral","15-39 Years","Total people, sex","2001",56900,
"MidCentral","15-39 Years","Total people, sex","2002",56700,
"MidCentral","15-39 Years","Total people, sex","2003",56700,
"MidCentral","15-39 Years","Total people, sex","2004",56500,
"MidCentral","15-39 Years","Total people, sex","2005",56000,
"MidCentral","15-39 Years","Total people, sex","2006",55800,
"MidCentral","15-39 Years","Total people, sex","2007",55300,
"MidCentral","15-39 Years","Total people, sex","2008",54700,
"MidCentral","15-39 Years","Total people, sex","2009",54400,
"MidCentral","15-39 Years","Total people, sex","2010",54500,
"MidCentral","15-39 Years","Total people, sex","2011",54200,
"MidCentral","15-39 Years","Total people, sex","2012",53800,
"MidCentral","15-39 Years","Total people, sex","2013",53500,
"MidCentral","15-39 Years","Total people, sex","2014",54200,
"MidCentral","15-39 Years","Total people, sex","2015",55400,
"MidCentral","15-39 Years","Total people, sex","2016",56800,
"MidCentral","15-39 Years","Total people, sex","2017",57800,
"MidCentral","15-39 Years","Total people, sex","2018",58600,
"MidCentral","15-39 Years","Total people, sex","2019",59300,
"MidCentral","15-39 Years","Total people, sex","2020",60400,
"Hutt Valley","15-39 Years","Male","1996",26500,
"Hutt Valley","15-39 Years","Male","1997",26300,
"Hutt Valley","15-39 Years","Male","1998",25900,
"Hutt Valley","15-39 Years","Male","1999",25300,
"Hutt Valley","15-39 Years","Male","2000",24800,
"Hutt Valley","15-39 Years","Male","2001",24400,
"Hutt Valley","15-39 Years","Male","2002",24300,
"Hutt Valley","15-39 Years","Male","2003",24400,
"Hutt Valley","15-39 Years","Male","2004",24300,
"Hutt Valley","15-39 Years","Male","2005",24100,
"Hutt Valley","15-39 Years","Male","2006",24000,
"Hutt Valley","15-39 Years","Male","2007",23800,
"Hutt Valley","15-39 Years","Male","2008",23400,
"Hutt Valley","15-39 Years","Male","2009",23300,
"Hutt Valley","15-39 Years","Male","2010",23200,
"Hutt Valley","15-39 Years","Male","2011",22900,
"Hutt Valley","15-39 Years","Male","2012",22500,
"Hutt Valley","15-39 Years","Male","2013",22300,
"Hutt Valley","15-39 Years","Male","2014",23100,
"Hutt Valley","15-39 Years","Male","2015",24000,
"Hutt Valley","15-39 Years","Male","2016",25100,
"Hutt Valley","15-39 Years","Male","2017",25900,
"Hutt Valley","15-39 Years","Male","2018",26500,
"Hutt Valley","15-39 Years","Male","2019",27000,
"Hutt Valley","15-39 Years","Male","2020",27700,
"Hutt Valley","15-39 Years","Female","1996",26700,
"Hutt Valley","15-39 Years","Female","1997",26600,
"Hutt Valley","15-39 Years","Female","1998",26200,
"Hutt Valley","15-39 Years","Female","1999",25800,
"Hutt Valley","15-39 Years","Female","2000",25300,
"Hutt Valley","15-39 Years","Female","2001",24900,
"Hutt Valley","15-39 Years","Female","2002",24800,
"Hutt Valley","15-39 Years","Female","2003",24700,
"Hutt Valley","15-39 Years","Female","2004",24700,
"Hutt Valley","15-39 Years","Female","2005",24800,
"Hutt Valley","15-39 Years","Female","2006",24700,
"Hutt Valley","15-39 Years","Female","2007",24600,
"Hutt Valley","15-39 Years","Female","2008",24400,
"Hutt Valley","15-39 Years","Female","2009",24300,
"Hutt Valley","15-39 Years","Female","2010",24200,
"Hutt Valley","15-39 Years","Female","2011",24000,
"Hutt Valley","15-39 Years","Female","2012",23600,
"Hutt Valley","15-39 Years","Female","2013",23300,
"Hutt Valley","15-39 Years","Female","2014",23600,
"Hutt Valley","15-39 Years","Female","2015",24100,
"Hutt Valley","15-39 Years","Female","2016",24800,
"Hutt Valley","15-39 Years","Female","2017",25400,
"Hutt Valley","15-39 Years","Female","2018",25800,
"Hutt Valley","15-39 Years","Female","2019",26100,
"Hutt Valley","15-39 Years","Female","2020",26700,
"Hutt Valley","15-39 Years","Total people, sex","1996",53200,
"Hutt Valley","15-39 Years","Total people, sex","1997",52800,
"Hutt Valley","15-39 Years","Total people, sex","1998",52100,
"Hutt Valley","15-39 Years","Total people, sex","1999",51200,
"Hutt Valley","15-39 Years","Total people, sex","2000",50100,
"Hutt Valley","15-39 Years","Total people, sex","2001",49300,
"Hutt Valley","15-39 Years","Total people, sex","2002",49100,
"Hutt Valley","15-39 Years","Total people, sex","2003",49100,
"Hutt Valley","15-39 Years","Total people, sex","2004",49000,
"Hutt Valley","15-39 Years","Total people, sex","2005",48800,
"Hutt Valley","15-39 Years","Total people, sex","2006",48800,
"Hutt Valley","15-39 Years","Total people, sex","2007",48400,
"Hutt Valley","15-39 Years","Total people, sex","2008",47800,
"Hutt Valley","15-39 Years","Total people, sex","2009",47600,
"Hutt Valley","15-39 Years","Total people, sex","2010",47300,
"Hutt Valley","15-39 Years","Total people, sex","2011",46900,
"Hutt Valley","15-39 Years","Total people, sex","2012",46100,
"Hutt Valley","15-39 Years","Total people, sex","2013",45600,
"Hutt Valley","15-39 Years","Total people, sex","2014",46600,
"Hutt Valley","15-39 Years","Total people, sex","2015",48100,
"Hutt Valley","15-39 Years","Total people, sex","2016",49900,
"Hutt Valley","15-39 Years","Total people, sex","2017",51300,
"Hutt Valley","15-39 Years","Total people, sex","2018",52300,
"Hutt Valley","15-39 Years","Total people, sex","2019",53100,
"Hutt Valley","15-39 Years","Total people, sex","2020",54400,
"Capital and Coast","15-39 Years","Male","1996",50400,
"Capital and Coast","15-39 Years","Male","1997",50900,
"Capital and Coast","15-39 Years","Male","1998",51000,
"Capital and Coast","15-39 Years","Male","1999",50700,
